cluster_id,hvv,mainstream,extremist,slope
0,Barack Obama</>Donald Trump</>Obama,-inf,-inf,0.0
1,Barack Obama</>Donald Trump</>Donald Trump,-inf,-inf,-4.172819003726492e-08
2,Barack Obama</>Donald Trump</>Barack Obama,-inf,-inf,0.0
3,Barack Obama</>Donald Trump</>Trump,-inf,-inf,0.0
4,Barack Obama</>Donald Trump</>McCain,-inf,-inf,0.0
5,Barack Obama</>Donald Trump</>President Trump,-inf,-inf,-4.997379873732202e-08
6,Barack Obama</>Putin</>Obama,-inf,-inf,0.0
7,Barack Obama</>Putin</>Donald Trump,-inf,-inf,0.0
8,Barack Obama</>Putin</>Barack Obama,-inf,-inf,-4.992328937125082e-08
9,Barack Obama</>Trump</>Obama,-inf,-inf,0.0
10,Barack Obama</>Trump</>Donald Trump,-inf,-inf,-4.667356913619786e-08
11,Barack Obama</>Trump</>Democrats,-inf,-inf,7.701193685021178e-06
12,Barack Obama</>Trump</>Barack Obama,-inf,-inf,-5.0763154667135384e-08
13,Barack Obama</>Trump</>Trump,-inf,-inf,-5.96323190615604e-08
14,Barack Obama</>Trump</>McCain,-inf,-inf,0.0
15,Barack Obama</>Trump</>America,-inf,-inf,0.0
16,Barack Obama</>Trump</>,-inf,-inf,-6.745566955054044e-08
17,Barack Obama</>Trump</>Post Reply | Private Reply | To 1 | View Replies] To: Kaslin,-inf,-inf,0.0
18,Barack Obama</>Trump</>President Trump,-inf,-inf,-7.376871258658373e-08
19,Barack Obama</>Trump</>Congress,-inf,-inf,0.0
20,Barack Obama</>Trump</>I,-inf,-inf,0.0
21,Barack Obama</>Trump</>Lindsey Graham,-inf,-inf,0.0
22,Barack Obama</>U.S.</>Donald Trump,-inf,-inf,-3.723557325215065e-08
23,Barack Obama</></>Obama,-inf,-inf,0.0
24,Barack Obama</></>Donald Trump,-inf,-inf,0.0
25,Barack Obama</></>Barack Obama,-inf,-inf,0.0
26,Barack Obama</></>Trump,-inf,-inf,0.0
27,Barack Obama</></>America,-inf,-inf,0.0
28,Barack Obama</></>Post Reply | Private Reply | To 1 | View Replies] To: Kaslin,-inf,-inf,0.0
29,Barack Obama</>trump</>Donald Trump,-inf,-inf,-5.722189463959139e-08
30,Barack Obama</>Bernie Sanders</>Democrats,-inf,-inf,7.701193685021178e-06
31,Barack Obama</>Bernie Sanders</>Donald Trump,-inf,-inf,7.701193685021178e-06
32,Barack Obama</>Obama</>Congress,-inf,-inf,0.0
33,Barack Obama</>Obama</>Obama,0.0,-inf,-1.1832620250334464e-08
34,Barack Obama</>Obama</>I,-inf,-inf,0.0
35,Barack Obama</>Obama</>Barack Obama,0.0,-inf,-1.72179160405515e-08
36,Barack Obama</>Barack Obama</>Barack Obama,-0.6931471805599453,-inf,-9.76660173330371e-09
37,Barack Obama</>Barack Obama</>Obama,0.0,-inf,-9.480154585675911e-09
38,Barack Obama</>Barack Obama</>Trump,-inf,-inf,0.0
39,Barack Obama</>Barack Obama</>America,-inf,-inf,0.0
40,Barack Obama</>Barack Obama</>Post Reply | Private Reply | To 1 | View Replies] To: Kaslin,-inf,-inf,0.0
41,Barack Obama</>Trump.</>Barack Obama,-inf,-inf,0.0
42,Barack Obama</>Trump.</>Obama,-inf,-inf,0.0
43,Barack Obama</>Trump.</>Donald Trump,-inf,-inf,0.0
44,Barack Obama</>Trump.</>Trump,-inf,-inf,0.0
45,Barack Obama</>Trump.</>McCain,-inf,-inf,0.0
46,Barack Obama</>Trump.</>America,-inf,-inf,0.0
47,Barack Obama</>Trump.</>Post Reply | Private Reply | To 1 | View Replies] To: Kaslin,-inf,-inf,0.0
48,Barack Obama</>Trump.</>Congress,-inf,-inf,0.0
49,Barack Obama</>Trump.</>I,-inf,-inf,0.0
50,Barack Obama</>GOP</>Donald Trump,-inf,-inf,-8.440019825944172e-08
51,Barack Obama</>Facebook</>Barack Obama,-inf,-inf,0.0
52,Barack Obama</>Trump?</>Donald Trump,-inf,-inf,-6.745566955054044e-08
53,Barack Obama</>Trump?</>Trump,-inf,-inf,-6.745566955054044e-08
54,Barack Obama</>Trump?</>,-inf,-inf,-6.745566955054044e-08
55,Barack Obama</>Democrats</>President Trump,-inf,-inf,-7.376871258658373e-08
56,Barack Obama</>Democrats</>Obama,0.0,-inf,-1.1832620250334464e-08
57,Barack Obama</>Congress</>Donald Trump,-inf,-inf,-1.3064999154694555e-07
58,George W. Bush</>Trump</>Trump,-inf,0.0,1.1527369150152663e-08
59,George W. Bush</>Trump</>Donald Trump,-inf,0.0,1.1527369150152663e-08
60,George W. Bush</>Trump</>A,-inf,0.0,4.477917374364192e-07
61,George W. Bush</>Hillary</>Hillary,-inf,0.0,8.325744763887082e-09
62,George W. Bush</>Hillary</>Donald Trump,-inf,0.0,8.325744763887082e-09
63,George W. Bush</>Clinton</>Hillary,-inf,0.0,8.325744763887082e-09
64,George W. Bush</>Clinton</>Donald Trump,-inf,0.0,8.325744763887082e-09
65,George W. Bush</>Iran</>Iran,-inf,0.0,2.154441807287981e-07
66,George W. Bush</>Iran</>Iraq,-inf,0.0,2.154441807287981e-07
67,Willis</>Piperville</>Jack Smith,-inf,-inf,0.0
68,Willis</>Piperville</>Willis,-inf,-inf,0.0
