cluster type,template,version,high score
dbscan,a,0,0.19617891311645508
dbscan,a,1,0.1405457705259323
dbscan,a,2,
dbscan,b,0,0.22664739191532135
dbscan,b,1,0.21433889865875244
dbscan,b,2,
dbscan,c,0,0.14066392183303833
dbscan,c,1,0.24463291466236115
dbscan,c,2,
dbscan,d,0,
dbscan,d,1,
dbscan,d,2,0.2892733265775636
kmeans,a,0,0.006611268036067486
kmeans,a,1,
kmeans,a,2,
kmeans,b,0,0.013626376166939735
kmeans,b,1,
kmeans,b,2,
kmeans,c,0,
kmeans,c,1,
kmeans,c,2,
kmeans,d,0,
kmeans,d,1,
kmeans,d,2,
agglom,a,0,0.045910295099020004
agglom,a,1,
agglom,a,2,
agglom,b,0,0.048337627202272415
agglom,b,1,
agglom,b,2,
agglom,c,0,
agglom,c,1,0.09141521900892258
agglom,c,2,
agglom,d,0,
agglom,d,1,
agglom,d,2,0.13522970032706833
