,model,average,total_time,precision,recall,perfect_matches,noisy_match,partial_matches,partial_gt_20,partial_gt_40,partial_gt_60,partial_gt_80
0,google/flan-t5-base A langchain,45.01150803654282,2430.6214339733124,0.813953488372093,0.8536585365853658,0,13,32,27,22,5,1
1,google/flan-t5-base A truncated,6.5562622679604425,354.0381624698639,0.3333333333333333,0.4642857142857143,0,8,10,8,5,1,0
2,google/flan-t5-base B langchain,46.61135033324913,2517.012917995453,1.0,1.0,0,21,32,27,18,6,1
3,google/flan-t5-base B truncated,3.8494065558468855,207.8679540157318,0.28205128205128205,1.0,0,4,14,12,7,1,0
4,google/flan-t5-large A langchain,90.81284162291774,4903.893447637558,0.8095238095238095,0.8292682926829268,0,13,37,31,23,6,0
5,google/flan-t5-large A truncated,8.580445744373181,463.34407019615173,0.20930232558139536,0.391304347826087,0,3,9,9,6,1,0
6,google/flan-t5-large B langchain,113.62194733266477,6135.585155963898,1.0,1.0,0,18,36,30,21,7,1
7,google/flan-t5-large B truncated,10.758334623442757,580.9500696659088,0.41025641025641024,1.0,0,3,20,18,13,4,0
8,meta-llama/Llama-2-7b-hf A truncated,395.75591072771283,21370.819179296494,0.0,0.0,0,0,0,0,0,0,0
9,vicuna-13b-v1.3 A truncated,7.119498852527503,234.9434621334076,0.029411764705882353,0.07142857142857142,0,1,3,2,0,0,0
10,vicuna-13b-v1.3 B truncated,7.661313129193855,252.82333326339722,0.10256410256410256,0.2222222222222222,0,3,3,2,1,0,0
