,input_level,hvv,part_b,count,total_narr,time_frame (months),relative
0,combo,"hero, villain, victim",CenterLeft,21,92,5.0,0.22826086956521738
1,combo,"hero, villain, victim",CenterLeft,21,92,5.5,0.22826086956521738
2,combo,"hero, villain, victim",CenterLeft,21,92,6.0,0.22826086956521738
3,combo,"hero, villain, victim",CenterLeft,21,92,6.5,0.22826086956521738
4,combo,"hero, villain, victim",CenterLeft,21,92,7.0,0.22826086956521738
5,combo,"hero, villain, victim",CenterLeft,21,92,7.5,0.22826086956521738
6,combo,"hero, villain, victim",CenterLeft,21,92,8.0,0.22826086956521738
7,combo,"hero, villain, victim",CenterLeft,21,92,8.5,0.22826086956521738
8,combo,"hero, villain, victim",CenterLeft,21,92,9.0,0.22826086956521738
9,combo,"hero, villain, victim",CenterLeft,21,92,9.5,0.22826086956521738
10,combo,"hero, villain, victim",CenterLeft,21,92,10.0,0.22826086956521738
11,combo,"hero, villain, victim",CenterLeft,21,92,10.5,0.22826086956521738
12,combo,"hero, villain, victim",CenterLeft,21,92,11.0,0.22826086956521738
13,combo,"hero, villain, victim",CenterLeft,18,92,11.5,0.1956521739130435
14,combo,"hero, villain, victim",CenterLeft,17,92,12.0,0.18478260869565216
15,combo,"hero, villain, victim",CenterLeft,18,92,12.5,0.1956521739130435
16,combo,"hero, villain, victim",CenterLeft,18,92,13.0,0.1956521739130435
17,combo,"hero, villain, victim",CenterLeft,17,92,13.5,0.18478260869565216
18,combo,"hero, villain, victim",CenterLeft,16,92,14.0,0.17391304347826086
19,combo,"hero, villain, victim",CenterLeft,16,92,14.5,0.17391304347826086
20,combo,"hero, villain, victim",CenterLeft,16,92,15.0,0.17391304347826086
21,combo,"hero, villain, victim",CenterLeft,16,92,15.5,0.17391304347826086
22,combo,"hero, villain, victim",CenterLeft,16,92,16.0,0.17391304347826086
23,combo,"hero, villain, victim",CenterLeft,16,92,16.5,0.17391304347826086
24,combo,"hero, villain, victim",CenterLeft,16,92,17.0,0.17391304347826086
25,combo,"hero, villain, victim",CenterLeft,16,92,17.5,0.17391304347826086
26,combo,"hero, villain, victim",CenterLeft,15,92,18.0,0.16304347826086957
27,combo,"hero, villain, victim",CenterLeft,15,92,18.5,0.16304347826086957
28,combo,"hero, villain, victim",CenterLeft,15,92,19.0,0.16304347826086957
29,combo,"hero, villain, victim",CenterLeft,16,92,19.5,0.17391304347826086
30,combo,"hero, villain, victim",CenterLeft,22,92,2.0,0.2391304347826087
31,combo,"hero, villain, victim",CenterLeft,16,92,20.0,0.17391304347826086
