joe biden,"[0.2799267327874467, 0.5468014731488633]"
rex tillerson,"[0.5183816026226881, 0.3786140830096143]"
scott morrison,"[-0.013020891282680386, 0.5305774871129139]"
tricia newbold,"[-0.006024096385542169, 1.0]"
chris paul,"[0.9428133442787149, -0.008597082645141372]"
elijah cummings,"[-0.016275338046350733, 0.5272768662338612]"
michael moore,"[0.7549685174209181, -0.011543773579579489]"
simone biles,"[0.7549685174209183, -0.011543773579579492]"
kathy hochul,"[-0.011473685675089938, 0.754962792104499]"
hugh hefner,"[0.8938896856393831, -0.008150940146297202]"
nathan phillips,"[-0.006024096385542166, 0.9999999999999991]"
