joe biden,"[0.5398230688015241, 0.46503444393202226]"
bernie sanders,"[0.5814004754560156, 0.6196725698214355]"
jimmy hanaie,"[0.6779387361528457, 0.41559848348077266]"
sam kerr,"[0.6007276507276509, 0.18389121338912132]"
alexandria ocasio-cortez,"[0.5187950229207591, 0.4965717299578062]"
lawyer,"[0.5107421875, 0.14123869252333748]"
ted cruz,"[0.4449522226838379, 0.5489130434782623]"
jerry nadler,"[0.023055746730901588, 0.5976454293628817]"
law firm,"[0.5876543209876541, 0.1751552795031055]"
jeffrey schlupp,"[0.7438650306748474, 0.4876543209876544]"
