daca recipients,"[0.6416111373693555, -0.01719694070639781]"
stormy daniels,"[0.11615770984375497, 0.5174552875736097]"
trump supporters,"[0.5536962061333391, -0.01897383845123478]"
iraqi civilians,"[0.5263613559678149, 0.2515701356379038]"
jacob blake,"[0.5075395492451861, -0.01467966615727052]"
alexandria ocasio-cortez,"[0.6002192936359322, -0.012927434738545652]"
usps,"[0.6655972292110682, -0.01433580696105747]"
reince priebus,"[0.8660413091886981, -0.010561481753095566]"
indian people,"[0.5715078139342589, -0.014110422809279852]"
immigrant children,"[0.8156830512813223, -0.009947294626039872]"
