james comey,"[0.21993868426123178, 0.5596730177432874]"
heather heyer,"[0.7931600330842759, 0.22069916157754207]"
qatar,"[0.19096214796090508, 0.6798661533010086]"
afghans,"[0.7891570106547802, -0.014524127250192108]"
jacob blake,"[0.599941763188909, -0.014391222302947107]"
marco rubio,"[0.6039387603610298, 0.3950426279668367]"
dan mccready,"[0.8067668269003546, 0.39720864838913267]"
reince priebus,"[0.8660413091886981, -0.010561481753095566]"
aretha franklin,"[-0.010497470414408473, 0.5738405085848587]"
afghan refugees,"[1.0, -0.006060606060606061]"
