steve bannon,"[-0.026852636295991147, 0.5167437659967138]"
william barr,"[0.19791505521649458, 0.535114429491604]"
corruption,"[0.5746886471187594, -0.02719029261832548]"
larry nassar,"[0.6642088178930587, -0.010155870029793117]"
thanos,"[0.5263613559678153, -0.023170933545596392]"
anthony scaramucci,"[0.9178926723883131, -0.009779693987185588]"
peter navarro,"[-0.011794276533549773, 0.8323408892690842]"
hurricane harvey,"[0.8938896856393841, -0.00815094014629721]"
roseanne barr,"[0.5738617159876637, -0.010561481753095557]"
boeing,"[-0.011492228613806652, 0.6282161539472942]"
jussie smollett,"[-0.008545136050864481, 0.7049607769015929]"
