afghanistan,"[0.622543547682125, 0.07748084183047149]"
north korea,"[0.14218064427761484, 0.5578232830576006]"
venezuela,"[0.504306959529316, 0.12097499421004317]"
nigeria,"[-0.01842507238987795, 0.6409387405484266]"
alexandria ocasio-cortez,"[0.6713537664968411, -0.015549431228110847]"
tara reade,"[0.8675084622846468, -0.00829065523505684]"
nbc,"[0.6313799488180942, -0.015589477925164463]"
huma abedin,"[0.6673016469606138, -0.007680104204360764]"
hard-pressed households,"[-0.010094358934544953, 0.6641938999484697]"
jussie smollett,"[0.5715078139342586, -0.014110422809279852]"
donna brazile,"[0.893889685639383, -0.0081509401462972]"
ma'khia bryant,"[0.7049737241963199, -0.008597082645141377]"
