covid-19,"[0.541100690854572, 0.4301805455414198]"
andrew cuomo,"[0.06382598226698802, 0.6422299350254294]"
david cameron,"[0.24422898820508523, 0.5073105847068283]"
larry nassar,"[0.8156830512813226, -0.009947294626039863]"
al franken,"[0.5121291867417043, -0.011029915318881783]"
mother nature,"[0.5273209527017634, -0.016375057957573342]"
matt lauer,"[0.9043749736298556, -0.009172150576880547]"
donna brazile,"[0.7978208232445515, -0.010962241169305739]"
anthony weiner,"[0.7549685174209174, -0.011543773579579489]"
eric schneiderman,"[0.5098128595425543, -0.014204190928239168]"
ahmad khan rahami,"[0.999999999999999, -0.006060606060606056]"
roseanne barr,"[0.5738617159876633, -0.01056148175309556]"
mick mulvaney,"[-0.011492228613806645, 0.6282161539472947]"
