donald trump,"[0.5285091698094303, 0.5036616892886707]"
global elite,"[0.5345365234428894, 0.5588853179737605]"
joe biden,"[0.5956438696431755, 0.4039057638286324]"
hillary clinton,"[0.8516478185732045, 0.8052409715271476]"
covid-19,"[0.5542326921447334, 0.458060386215726]"
international criminal court,"[0.581823538076299, 0.5078565075600355]"
taliban,"[0.5563344216119325, 0.08039165163617625]"
alexandria ocasio-cortez,"[0.597913322632424, 0.3027463651050083]"
target,"[0.2808612440191392, 0.5204622051035138]"
k. walker,"[0.524487471526196, 0.3340974212034381]"
al franken,"[0.5920195439739417, 0.1159360917656698]"
