taliban,"[0.7218560515578144, 0.18296711568073476]"
elon musk,"[0.01981766958501576, 0.5910798061321176]"
jussie smollett,"[0.7734605140948926, -0.013545771366280341]"
derek chauvin,"[0.8339308901121736, 0.04253915734265428]"
hamas,"[0.7716891449029927, 0.3781455394410329]"
al franken,"[0.5121291867417047, -0.01102991531888179]"
larry nassar,"[0.8156830512813226, -0.009947294626039863]"
roy moore,"[-0.014024731630288566, 0.8642633970683905]"
delta variant,"[-0.008545136050864481, 0.7049607769015925]"
eric schneiderman,"[0.5738617159876632, -0.01056148175309556]"
liz truss,"[-0.009887067288258458, 0.8156781593352698]"
