none.barack obama,"[0.5401479067138821, 0.23161848856334383]"
joe biden.donald trump,"[0.5935852580249511, 0.20569407981028998]"
none.taliban,"[0.5128237500721179, 0.14490594365468656]"
ted cruz.donald trump,"[0.7982015860650185, 0.5391828935245461]"
none.elon musk,"[-0.03171514123346543, 0.5872692928094407]"
none.alexandria ocasio-cortez,"[0.5335603098158881, 0.2567736779978396]"
kamala harris.donald trump,"[-0.015550948549514783, 0.5409094265805607]"
hillary clinton.bernie sanders,"[0.5273209527017627, 0.2554509041381441]"
tara reade.joe biden,"[0.9178926723883128, 0.22213876342321576]"
none.mitt romney,"[-0.011492228613806643, 0.628216153947295]"
