covid-19,"[0.5777910375215888, 0.6553553280682018]"
hillary clinton,"[0.5435153984991877, 0.47016313839827295]"
bernie sanders,"[-0.05138491558731218, 0.522794518192374]"
roy moore,"[0.8388967571668215, -0.022168248981908646]"
michael cohen,"[0.3451579232363516, 0.5400767915524347]"
steve king,"[-0.05186617809725399, 0.5218346032554229]"
myanmar military,"[0.620632890834175, -0.04029114820126903]"
saudi-led coalition,"[-0.023416699476087464, 0.7539949596048319]"
james alex fields jr.,"[0.36530051182696477, 0.7539949596048321]"
crown prince mohammed bin salman,"[0.5029571828201786, -0.02919417117628379]"
boeing,"[-0.023395413544786543, 0.6237706113316798]"
