lebron james,"[0.6662479953318071, 0.25084489675740185]"
antonio guterres,"[0.531958781385877, 0.14926568155529046]"
mark zuckerberg,"[-0.04029515335194756, 0.5133571114215447]"
ariana grande,"[-0.05130810355071943, 0.5567993686403572]"
shinzo abe,"[-0.04636465818554494, 0.5947916037217584]"
juan guaidó,"[0.8148629450829783, -0.020371077711738024]"
james comey,"[0.9483026315397416, -0.015674347019079965]"
ivanka trump,"[0.7688517444384896, -0.029194171176283788]"
mother,"[0.8148629450829784, -0.02037107771173803]"
romelu lukaku,"[-0.020120072718098226, 0.8148431084695213]"
