taiwan,"[0.5780626589244524, -0.0280686979622081]"
qatar,"[0.6382980226803926, -0.042624646216904614]"
breonna taylor,"[0.5362045843382509, -0.027490272741626832]"
puerto rico,"[0.5029571828201788, 0.23679716620763522]"
indian citizens,"[0.5029571828201786, -0.029194171176283798]"
indian people,"[0.6616835701069887, -0.02080571906314273]"
liverpool fc,"[0.8933418124639813, -0.016645872314630737]"
rohingya muslims,"[0.8148629450829783, -0.02037107771173803]"
players,"[0.623877694527641, -0.023687491569557455]"
ukrainian people,"[0.8114408259335794, 0.4875000000000001]"
