donald trump,"[0.5405398559990866, 0.44782213054817427]"
covid-19,"[0.7517015037024048, 0.6717894475124891]"
inflation,"[0.2763082963691879, 0.5278482097715173]"
alex jones,"[-0.04529104950546687, 0.511631811697914]"
greg abbott,"[0.03223911279182379, 0.5465320115286108]"
huawei,"[0.9999999999999999, -0.012345679012345684]"
josh hawley,"[0.8956155812584966, 0.20711478565350563]"
hamas,"[0.6646032899566292, -0.029630973468423423]"
liz truss,"[0.15405781632506613, 0.6794623621172597]"
cold weather,"[0.6238776945276411, -0.023687491569557455]"
