covid-19,"[0.7422187222383265, 0.6504551684518967]"
joe biden,"[0.5531444697371203, 0.44210165387199934]"
russia,"[0.47406580204260873, 0.5228781383088333]"
nicolás maduro,"[0.5215808893550092, 0.34004617233164985]"
hamas,"[0.5736278104104884, -0.00577829733884992]"
huawei,"[-0.016441873849030335, 0.8933284808851834]"
chinese communist party,"[0.528634391585459, 0.24712082528608623]"
goldman sachs,"[0.5029571828201788, -0.02919417117628379]"
anthony weiner,"[0.7540177231300165, -0.02371053332090667]"
wells fargo,"[-0.028629183395592492, 0.5652767597611377]"
syrian government,"[-0.02138497306920754, 0.5701779377163205]"
