joe biden,"[0.6335436567294485, 0.5023152888591471]"
alexandria ocasio-cortez,"[0.6816647245450511, 0.507461487726016]"
stephen colbert,"[-0.06604581866838265, 0.5429047570442158]"
rex tillerson,"[0.6172427204811702, -0.06669755231421962]"
moderna,"[-0.02600782433051498, 0.5495009410013254]"
john kasich,"[0.5392168762007845, 0.24823319340865585]"
scott morrison,"[0.5265613649228038, -0.02699807729914608]"
kirsten gillibrand,"[-0.034272983829718016, 0.5751319800651056]"
tricia newbold,"[1.0, -0.01234567901234568]"
chris paul,"[0.9428267847349182, -0.017568209223157657]"
elijah cummings,"[0.5197921247168581, -0.033740680424121525]"
michael moore,"[0.7540177231300165, -0.02371053332090667]"
simone biles,"[0.7540177231300166, -0.02371053332090666]"
kathy hochul,"[0.7540177231300165, -0.02371053332090666]"
author of the article,"[-0.02339541354478654, 0.7027283689263069]"
hugh hefner,"[0.8933418124639813, -0.016645872314630737]"
nathan phillips,"[0.9999999999999999, -0.012345679012345684]"
