joe biden,"[0.6039533735100883, 0.7209388452254967]"
bernie sanders,"[0.7794364707465476, 0.8037479464947818]"
jimmy hanaie,"[0.5916545189504372, 0.12266330171735876]"
barack obama,"[0.5760656213191345, 0.5208837460682141]"
hillary clinton,"[0.7855526856668829, 0.5998058822110992]"
roman semiokhin,"[0.6150763850130442, 0.5134461960677448]"
alexandria ocasio-cortez,"[0.686417250276447, 0.5325233644859814]"
kevin drum,"[0.605298913043478, 0.3216132368148914]"
bill palmer,"[0.25814931650893796, 0.5191897654584221]"
ted cruz,"[0.7139903514817356, 0.37316196188558737]"
andrew cuomo,"[0.5439560439560438, 0.08698677800974247]"
jerry nadler,"[0.680769230769231, 0.3077922077922078]"
amber heard,"[-0.04554585930160515, 0.5617617087878223]"
john brennan,"[-0.10666666666666662, 0.5844594594594594]"
k.p. sasi,"[-0.056712962962962986, 0.5193434935521692]"
jeffrey schlupp,"[0.6541666666666666, 0.3080168776371307]"
