joe biden,"[0.5052846837454618, 0.5886532816036993]"
kamala harris,"[0.6518929095037964, -0.051449675661756344]"
liz cheney,"[0.3212020842513979, 0.6254184484052867]"
bill palmer,"[0.05180326909664286, 0.6658744944855693]"
ted cruz,"[0.7141185704698249, 0.27623582189499235]"
apple,"[-0.05970043017891657, 0.5117566234506483]"
john kasich,"[0.24859998837828373, 0.6844143761124373]"
simone biles,"[0.7540177231300167, -0.02371053332090666]"
chris paul,"[0.6646032899566291, -0.02963097346842342]"
leonardo dicaprio,"[0.5197921247168583, -0.030811801125666054]"
viola davis,"[-0.02138497306920752, 0.866093069948841]"
stormy daniels,"[-0.026440185777623776, 0.7050480775921936]"
juan manuel santos,"[0.6206328908341752, -0.035805743701971635]"
tony evers,"[0.5029571828201786, 0.5027885035915545]"
doug jones,"[0.9042248064222367, -0.01875977815147707]"
kanye west,"[-0.023416699476087464, 0.753994959604832]"
roger waters,"[0.6238776945276411, -0.023687491569557465]"
jill biden,"[0.8148629450829783, -0.020371077711738024]"
ukrainian forces,"[0.8148629450829783, 0.3972360153788916]"
