joe biden,"[0.5330825877246527, 0.49033284810007627]"
venezuela,"[0.4479236598197618, 0.5943719475870355]"
afghanistan,"[0.7695911788011747, -0.05425014034795504]"
venezuelan people,"[0.1658867555322907, 0.5088220770095877]"
michael flynn,"[-0.04538665785758035, 0.5822925351671658]"
syrian civilians,"[-0.0878387516181815, 0.6713149276093069]"
facebook users,"[0.33373465216931614, 0.6564842941375528]"
jacob blake,"[0.7076269811109769, -0.0250145393176684]"
qatar,"[0.6594185633505086, -0.02677397763008331]"
society,"[0.5755243026984316, -0.0373707107775729]"
isis,"[-0.028938439264005463, 0.5714630769430153]"
usps,"[0.6646032899566292, 0.31747471573310804]"
standing rock sioux tribe,"[0.7540177231300165, -0.02371053332090667]"
reince priebus,"[0.866091409302905, -0.021652326748721022]"
ruth bader ginsburg,"[1.0, -0.012345679012345677]"
wisconsin,"[0.8148629450829783, -0.020371077711738024]"
