americans,"[0.5723554010170446, 0.4557153339704595]"
hillary clinton,"[0.7497026737172022, 0.7256862861562754]"
joe biden,"[0.7477583197929831, 0.5791788856304984]"
barack obama,"[0.6634533729498242, 0.559187948144397]"
ukraine,"[0.5712716304922859, 0.3138326638831506]"
north korea,"[0.5356232719860853, 0.42385744601839515]"
bernie sanders,"[0.6465261687194621, 0.4539481427927866]"
michael cohen,"[0.6669143876337694, 0.4072289156626505]"
ted cruz,"[0.6733977296322554, 0.5559335664968473]"
obamacare,"[0.10186567164179107, 0.5349716446124761]"
texans,"[0.642754662840746, 0.22529069767441873]"
alexandria ocasio-cortez,"[0.5196759259259259, 0.13481828839390386]"
libya,"[0.6405792118221639, 0.5196064785314718]"
iraqis,"[0.5743589743589744, 0.14805194805194816]"
alabama,"[0.5743589743589748, 0.1480519480519481]"
