bernie sanders,"[0.5607490674990171, 0.6583640818224439]"
james comey,"[0.6593922944401232, -0.0418961833403693]"
heather heyer,"[0.6098794088204624, -0.03959061493011748]"
qatar,"[0.7244519726818356, 0.19744095459432848]"
migrant children,"[0.6148875169387842, 0.08396407791308028]"
afghans,"[0.7869931185164866, 0.038184860134630974]"
jacob blake,"[0.5942526600165811, -0.029578867192392423]"
marco rubio,"[0.5530397914093602, -0.032102753749645]"
flint residents,"[0.640579211822164, -0.033740680424121525]"
reince priebus,"[0.866091409302905, -0.021652326748721022]"
susan collins,"[-0.03978415966885739, 0.6204836822995432]"
texas democrats,"[0.3973714361824401, 0.8148431084695211]"
aretha franklin,"[0.5702659485122012, -0.021652326748721026]"
alton sterling,"[0.9475142485638548, -0.023687491569557448]"
afghan refugees,"[1.0, -0.012345679012345678]"
