donald trump,"[0.771964584913962, 0.676512123647586]"
trump administration,"[0.5671156941050248, 0.5059639727361245]"
hillary clinton,"[0.8847420660200893, 0.8875351821694135]"
covid-19,"[0.5673825671941721, 0.4983750716880137]"
barack obama,"[0.6271810568718743, 0.49035247058524384]"
michael cohen,"[0.5872513562386978, 0.4360385144429162]"
bernie sanders,"[0.3225396384368701, 0.567128960163908]"
kayleigh mcenany,"[0.5825833774483855, 0.29632609278626965]"
david cameron,"[0.5906288532675708, 0.3853841349156777]"
sarah palin,"[0.5834401871074704, 0.5457039650864997]"
energy transfer partners,"[0.5012019230769232, 0.30085261875761266]"
john kasich,"[0.7924986926386152, 0.44045195694679873]"
johnny depp,"[-0.05070866393247765, 0.5502752336233132]"
doug mastriano,"[0.7871794871794874, 0.5740259740259742]"
