donald trump,"[0.6488943381507968, 0.5748881561360389]"
hillary clinton,"[0.5023723077445985, 0.5775160705135283]"
covid-19,"[0.6894246200025412, 0.5752544668339306]"
north korea,"[0.6479888366683781, 0.4606463504524002]"
david cameron,"[0.7452841876393546, 0.4789080939129842]"
ilhan omar,"[0.7389119489757815, 0.12062552918502234]"
jen psaki,"[0.6215646021941041, 0.18777747046516843]"
anthony scaramucci,"[0.8679635306471503, -0.02542057600904913]"
clarence thomas,"[0.5149023533692919, -0.03580574370197166]"
james clapper,"[0.23503674680257022, 0.5175491695067661]"
jeremy corbyn,"[0.5950131133811604, -0.04695723187277039]"
chris cuomo,"[0.832702421206242, -0.02438905955068585]"
mitt romney,"[-0.0352819114846163, 0.5652767597611374]"
senate,"[-0.02644018577762378, 0.7050480775921937]"
anthony weiner,"[-0.03332000799467041, 0.5196064785314718]"
islamic state militants,"[0.5197921247168584, -0.03374068042412153]"
neil gorsuch,"[-0.023514409276699233, 0.6269841269841273]"
john schnatter,"[0.7050716207366339, -0.026773977630083313]"
mark harris,"[0.25340466386151567, 0.7996801918720895]"
justice samuel alito,"[0.5197921247168582, -0.028988551782622426]"
debbie wasserman schultz,"[-0.028629183395592485, 0.5652767597611376]"
judge,"[-0.03749999999999999, 0.6540084388185654]"
cambridge analytica,"[0.5029571828201789, 0.5027885035915542]"
purdue pharma,"[0.5029571828201786, -0.029194171176283798]"
twitter users,"[-0.02883194041644336, 0.5027885035915542]"
lin wood,"[0.7540177231300166, -0.023710533320906658]"
russian forces,"[-0.03535810151892133, 0.6982120021884471]"
glenn beck,"[0.5702659485122009, -0.021652326748721046]"
kari lake,"[0.5702659485122011, -0.01756820922315766]"
david depape,"[0.3002411404914273, 0.7027283689263066]"
