donald trump,"[0.6238213710886945, 0.4891794536982092]"
covid-19,"[0.6067514104311439, 0.6019040421691767]"
hillary clinton,"[0.6024141470589762, 0.3707359142183441]"
barack obama,"[0.6028452219439512, 0.5974151176866194]"
taliban,"[0.656941762973614, 0.10861258942460429]"
scott pruitt,"[0.003779289493575217, 0.5996594261452617]"
elon musk,"[0.6124558554895765, 0.04607104719405774]"
roy moore,"[0.8534484317792977, 0.5130371127516371]"
inflation,"[0.5453708603993153, 0.07747088062634196]"
bill clinton,"[0.6247847961429993, 0.4049014110684267]"
nancy pelosi,"[0.5319676151021039, -0.05222722084252786]"
herschel walker,"[0.35800299421396325, 0.7987765664030787]"
larry nassar,"[0.6616835701069891, -0.020805719063142714]"
global warming,"[0.23503674680257025, 0.5175491695067659]"
anthony scaramucci,"[0.9181523659390943, -0.020022159221984432]"
mark harris,"[0.5549088400821014, -0.028449121567908058]"
kyle rittenhouse,"[0.5783890844816593, 0.5782646536026113]"
amy coney barrett,"[0.7010190612147038, 0.12328147712230154]"
maria butina,"[0.6616835701069889, -0.020805719063142738]"
qanon,"[-0.028629183395592485, 0.6237706113316795]"
alan bisbort,"[-0.021384973069207523, 0.5701779377163206]"
bashar al-assad,"[-0.02339541354478655, 0.6237706113316795]"
russian trolls,"[-0.023395413544786546, 0.6237706113316794]"
andrew wheeler,"[-0.023395413544786543, 0.6237706113316798]"
delta variant,"[0.7027819284987274, -0.01756820922315766]"
