none.none,"[0.6743821395958877, 0.4951538963984376]"
none.americans,"[0.5119660687797954, 0.44485452466297953]"
none.hillary clinton,"[0.6692098408206545, 0.72846695397515]"
none.joe biden,"[0.579177663564384, 0.3582910321489002]"
joe biden.none,"[0.5300113250283126, 0.5565502708171114]"
bernie sanders.none,"[0.6595768039520031, 0.5438582994701513]"
none.barack obama,"[0.6729873983054154, 0.5449059423701624]"
none.north korea,"[0.5725655430711609, 0.3577023498694516]"
none.bernie sanders,"[0.5927423831557457, 0.11497433894869308]"
none.ted cruz,"[0.5725952272323555, 0.6931727805452599]"
ted cruz.none,"[0.5734214390602054, 0.5001115117287033]"
none.george floyd,"[0.6406926406926405, 0.28070175438596495]"
amber heard.none,"[-0.04496402877697842, 0.551912568306011]"
bernie sanders.donald trump,"[0.7014388489208637, 0.4025500910746814]"
none.anthony fauci,"[0.5743589743589744, 0.14805194805194807]"
