none.none,"[0.6497269985308127, 0.4805522571739888]"
none.hillary clinton,"[0.604714897907786, 0.7890507777952543]"
none.joe biden,"[0.5270973725185757, 0.4959454051442571]"
none.barack obama,"[0.6569364747624041, 0.5664449178589757]"
hillary clinton.none,"[0.42049567957751693, 0.5933568653563468]"
none.bernie sanders,"[0.7929325279452053, 0.6118581292835542]"
none.puerto rico,"[0.6123613473154743, -0.03695333741132288]"
none.alexandria ocasio-cortez,"[0.5770223510602183, 0.26563387355157053]"
joe biden.americans,"[0.5007142154416935, -0.05038751447274838]"
none.vladimir putin,"[0.5592056602575974, 0.5589746567448711]"
none.heather heyer,"[0.5197921247168584, -0.033740680424121525]"
none.bernie sanders supporters,"[-0.023416699476087467, 0.7539949596048321]"
bernie sanders.hillary clinton,"[0.3973714361824401, 0.8148431084695212]"
none.global economy,"[0.30833333333333335, 0.6540084388185654]"
none.marco rubio,"[0.6238776945276412, -0.016645872314630737]"
none.justin trudeau,"[-0.02138497306920754, 0.5701779377163205]"
none.brett kavanaugh,"[0.6238776945276411, 0.9474996627822982]"
