none.donald trump,"[0.5760441314844095, 0.438556291118443]"
joe biden.donald trump,"[0.37194963810772785, 0.6300511906570015]"
none.trump administration,"[0.28970518448487603, 0.5069634961973231]"
bernie sanders.hillary clinton,"[0.7506096640144184, 0.2730243093164707]"
none.taliban,"[0.5760110407738784, 0.15421973494239238]"
bill palmer.donald trump,"[0.13760430018378333, 0.5244666818604934]"
ted cruz.donald trump,"[0.8036360685587112, 0.20779682251811865]"
john kasich.donald trump,"[-0.03427298382971803, 0.7784113868122551]"
none.bill clinton,"[0.8327024212062422, 0.26131135232877706]"
colin kaepernick.donald trump,"[0.5654263720629514, -0.028988551782622433]"
doug jones.roy moore,"[0.9042248064222367, -0.01875977815147707]"
none.scott morrison,"[-0.028629183395592485, 0.5652767597611374]"
none.alan bisbort,"[-0.021384973069207523, 0.5701779377163206]"
none.kyle rittenhouse,"[0.623877694527641, 0.6237706113316795]"
