none.none,"[0.529325207124531, 0.38394627496078654]"
none.donald trump,"[0.5355568785636619, 0.4372914167696694]"
joe biden.donald trump,"[0.3820902595068505, 0.6285182064068838]"
bernie sanders.hillary clinton,"[0.7506096640144184, 0.2730243093164707]"
ted cruz.donald trump,"[0.5077203938867788, -0.02263239852141821]"
none.marco rubio,"[0.8342716782129547, 0.19091574544735052]"
amber heard.johnny depp,"[0.6270509140453128, -0.02380952380952381]"
none.harvey weinstein,"[0.754017723130017, 0.36514221314196255]"
hillary clinton.bernie sanders,"[0.8148629450829784, -0.02037107771173803]"
none.rodrigo duterte,"[-0.03535810151892135, 0.6982120021884471]"
michelle obama.donald trump,"[0.5654263720629513, 0.26814410398925753]"
andrew cuomo.donald trump,"[-0.021384973069207537, 0.5701779377163204]"
mary trump.donald trump,"[0.8148629450829783, -0.02037107771173803]"
none.chris cuomo,"[0.8933418124639814, -0.016645872314630748]"
