none.none,"[0.5688742544927663, 0.3552790790363215]"
hillary clinton.none,"[0.6639530251006993, 0.4104293613148771]"
donald trump.puerto rico,"[0.5831921730136421, -0.02990408693441711]"
donald trump.nancy pelosi,"[0.5970199731699811, 0.0648722909637445]"
donald trump.fbi,"[0.5286343915854589, -0.034322336845289764]"
rudy giuliani.none,"[0.5286343915854591, -0.03432233684528976]"
mark meadows.none,"[-0.021384973069207537, 0.5701779377163205]"
mitch mcconnell.americans,"[0.5197921247168583, -0.033740680424121504]"
donald trump.black americans,"[0.5362045843382508, -0.02749027274162682]"
mark harris.dan mccready,"[0.5654263720629514, -0.028988551782622433]"
taliban.afghans,"[0.8933418124639814, -0.016645872314630748]"
herschel walker.none,"[0.39737143618244, 0.8933284808851835]"
