joe biden,"[0.580877945372932, 0.4048128504200265]"
ted cruz,"[0.6516093110223183, 0.5745131499601414]"
hillary clinton,"[0.481866195146505, 0.5521640008006032]"
nigel farage,"[0.5056689342403624, -0.05973618804512191]"
anthony fauci,"[0.07269324673263496, 0.521127243637208]"
tara reade,"[0.9261245972466592, -0.01921429066294652]"
volodymyr zelensky,"[0.5197921247168582, 0.24293289905367482]"
staffan de mistura,"[0.24323605836109385, 0.5652767597611376]"
cardi b,"[0.5029571828201786, -0.029194171176283795]"
david cameron,"[0.8933418124639813, -0.016645872314630737]"
juan guaidó,"[0.8148629450829783, -0.020371077711738024]"
ben wallace,"[0.7027819284987273, -0.017568209223157664]"
