hillary clinton,"[0.7211647945785327, 0.4798750783696447]"
ted cruz,"[0.8636622183274579, 0.6853356217865232]"
alexandria ocasio-cortez,"[0.7025145566260093, 0.4665658819300161]"
anthony fauci,"[0.20910123349800408, 0.6394174552354195]"
pete buttigieg,"[0.6199010882598632, -0.004149258529783147]"
michael cohen,"[0.5219325118854204, -0.028524734648872282]"
tara reade,"[0.6453969555863223, -0.027342414953737945]"
brad raffensperger,"[-0.03612533826457528, 0.5633811205018336]"
kayleigh mcenany,"[0.5328579258382777, 0.29127377738862614]"
jerry brown,"[0.5743589743589745, 0.1480519480519481]"
michael avenatti,"[0.2392700572584227, 0.6363452748689823]"
gary johnson,"[0.7695047707048946, 0.23923802839891567]"
sean spicer,"[-0.03154744841616539, 0.6229443807375881]"
mick mulvaney,"[0.5592056602575973, -0.04412957816406879]"
mark milley,"[0.6270509140453128, -0.023809523809523815]"
marine le pen,"[-0.023416699476087478, 0.753994959604832]"
jim acosta,"[0.7540177231300166, -0.02371053332090666]"
cassidy hutchinson,"[0.5476443915527703, -0.01721877020482622]"
john fetterman,"[-0.03042903097250923, 1.0]"
al franken,"[0.5702659485122009, -0.021652326748721043]"
