theodore shoebat,"[0.1951436772677689, 0.5186858369904923]"
james mattis,"[-0.05443954832654068, 0.6406131197426923]"
ben carson,"[0.5286343915854587, 0.2471208252860863]"
kate middleton,"[0.5598186666266681, -0.04417859709533576]"
josh hawley,"[0.5488168737360438, -0.03186264939385832]"
stacey abrams,"[0.5197921247168581, -0.033740680424121504]"
volodymyr zelensky,"[0.5197921247168582, 0.7962800580092675]"
volodymyr zelenskyy,"[0.6608160574175191, 0.19764235376052372]"
liz cheney,"[0.5592056602575972, -0.044129578164068775]"
rosa parks,"[0.9475142485638549, -0.023687491569557455]"
moon jae-in,"[0.39050589748053516, 0.8113774296425391]"
joel embiid,"[0.9483026315397416, -0.01567434701907997]"
