hillary clinton,"[0.7787814783916602, 0.43474728803886564]"
venezuela,"[0.1790933491949757, 0.685151019501928]"
ted cruz,"[0.5346889932323068, 0.05231720909440801]"
afghanistan,"[0.6888705417775662, -0.007643227346455237]"
police,"[-0.0670823131309122, 0.5688891418460433]"
isis,"[0.5715341754641082, 0.2710786390627125]"
central american migrants,"[0.795566502463054, -0.022443890274314204]"
hong kong,"[0.14312269326202673, 0.6670923786920551]"
jacob blake,"[0.9804911815887986, -0.01456173427768397]"
indian people,"[0.6616835701069887, -0.02080571906314273]"
unvaccinated people,"[-0.02054917919586922, 0.6616218662079388]"
