80% of the world's population,"[0.5641238048358894, 0.40737273977980065]"
ukraine,"[0.523531292451698, 0.36380384224256856]"
afghanistan,"[0.6643453945199824, -0.06060235075017576]"
north korea,"[0.7316523320471916, 0.44118254963474746]"
venezuela,"[0.5649872788720931, 0.0794617563710509]"
nigeria,"[0.6427870726059, -0.0366534716231086]"
alexandria ocasio-cortez,"[0.6887939809679205, -0.032241986489023974]"
tara reade,"[0.8667580158770221, -0.016934524121364945]"
south korea,"[0.7106788917241141, -0.04151826621679644]"
nbc,"[0.630428409592817, 0.3174747157331081]"
muslims,"[-0.02644018577762377, 0.705048077592194]"
central american migrants,"[-0.023395413544786553, 0.6237706113316797]"
small business owners,"[0.5197921247168582, -0.03374068042412151]"
homebuyers,"[0.3083333333333333, 0.6540084388185654]"
huma abedin,"[0.9483026315397407, -0.015674347019079965]"
hard-pressed households,"[0.6616835701069889, -0.020805719063142738]"
jussie smollett,"[0.5654263720629514, -0.028988551782622433]"
donna brazile,"[0.8933418124639813, -0.016645872314630737]"
homeless people,"[-0.021384973069207527, 0.5701779377163209]"
ma'khia bryant,"[0.7027819284987277, -0.017568209223157664]"
ron desantis,"[0.570265948512201, 0.5701779377163204]"
