covid-19,"[0.7600194148271899, 0.6269140618063963]"
hillary clinton,"[0.5796882189298068, 0.6115862606500163]"
russia,"[0.41119183196848097, 0.5497913387126466]"
isis,"[0.660435803545807, 0.3667924082881344]"
north korea,"[0.2062746430250597, 0.5084241152137041]"
andrew cuomo,"[0.6579724086203911, -0.0357200286617625]"
virus,"[0.590621186500079, -0.07670333549382356]"
harvey weinstein,"[0.7414759699825432, 0.22256303447348946]"
john conyers,"[0.9804911815887986, -0.01456173427768397]"
larry nassar,"[0.696817751821172, 0.45254934283993176]"
kansas,"[1.0, -0.012345679012345675]"
lebron james,"[0.7239893121866677, -0.02749027274162684]"
scammers,"[0.6541666666666669, -0.0379746835443038]"
opec+,"[0.6636625827793496, 0.20632112824478013]"
hurricane ida,"[0.9999999999999998, -0.01234567901234568]"
monkeypox,"[0.8624541497922236, 0.2681441039892575]"
obesity,"[0.5702659485122009, -0.02165232674872104]"
ralph northam,"[0.7027819284987278, -0.01756820922315766]"
sam bankman-fried,"[1.0, nan]"
