donald trump,"[0.6635681496763505, 0.6353955179429328]"
barack obama,"[0.673211348898882, 0.6226050427325983]"
covid-19,"[0.5963424834263543, 0.6785896978912305]"
north korea,"[0.4906865745364374, 0.5215604439482848]"
elon musk,"[0.5139034310901403, 0.24801854065237347]"
alexandria ocasio-cortez,"[0.6452026019139647, 0.5479629042871704]"
scott pruitt,"[0.15928666213160442, 0.6229653848174934]"
william barr,"[0.6742934872512764, 0.0758844358501969]"
john mccain,"[0.1171093139699805, 0.5586153381147672]"
derek chauvin,"[0.5269722148537034, 0.41307215766888006]"
john kasich,"[0.68251634816288, 0.9035002447281703]"
josh hawley,"[0.6317637356725566, 0.6315896799228484]"
larry nassar,"[0.5288864932554193, -0.03433062851059347]"
doj,"[0.5629142279100244, 0.25915263401960303]"
nato,"[0.3017682523843069, 0.6269841269841274]"
sidney powell,"[0.7050716207366342, -0.026773977630083302]"
tim kaine,"[-0.023416699476087478, 0.7539949596048321]"
nigel farage,"[-0.028831940416443352, 0.5027885035915544]"
islamic extremists,"[0.5654263720629514, 0.2681441039892575]"
north korean regime,"[0.7540177231300166, -0.023710533320906665]"
gas leak,"[0.5654263720629515, -0.02898855178262243]"
liz truss,"[0.9699720303319204, -0.015015015015015013]"
sam bankman-fried,"[1.0, nan]"
canadian government,"[0.570265948512201, -0.021652326748721036]"
john cornyn,"[0.570265948512201, -0.021652326748721026]"
ralph northam,"[0.6238776945276411, -0.023687491569557448]"
cory booker,"[0.8148629450829783, -0.020371077711738027]"
