covid-19,"[0.7145829815518184, 0.5296105488638915]"
north korea,"[0.3711785897089375, 0.5687258142730279]"
taliban,"[0.811608066249566, -0.037843305473393894]"
elon musk,"[0.6906196416648628, 0.4414029497390053]"
jussie smollett,"[0.7547279467555154, -0.027246540394339124]"
mike pence,"[0.3023340821833549, 0.5619047619047619]"
hamas,"[0.8969002457075764, -0.02434264862746169]"
larry nassar,"[0.8148629450829786, -0.020371077711738017]"
espn,"[0.6646032899566292, -0.029630973468423423]"
bashar al-assad,"[0.5197921247168583, 0.24293289905367496]"
john kasich,"[0.2683985943336797, 0.5652767597611376]"
matt lauer,"[-0.018529196852914678, 0.9042213069011947]"
roy moore,"[0.8624541497922238, 0.26814410398925753]"
delta variant,"[0.7027819284987274, -0.01756820922315766]"
eric schneiderman,"[0.5702659485122011, -0.021652326748721036]"
department of education,"[-0.024849034773521315, 0.5701779377163206]"
liz truss,"[0.8148629450829783, -0.020371077711738027]"
