none.donald trump,"[0.5957007974689911, 0.5262823978328237]"
none.joe biden,"[0.5115928305147807, 0.41663272821853886]"
none.barack obama,"[0.5905766687508732, 0.545005663098297]"
joe biden.donald trump,"[0.6257703208316853, 0.4277184267583683]"
none.north korea,"[0.6201689217734282, 0.2795610804564437]"
bernie sanders.hillary clinton,"[0.5570594099792392, 0.6660970298989286]"
ted cruz.donald trump,"[0.666275702945573, 0.7009672315915104]"
anthony fauci.donald trump,"[0.25832242227053637, 0.6570918678651405]"
none.elon musk,"[0.5736999495584469, 0.1669085631349782]"
none.alexandria ocasio-cortez,"[0.7123190113872716, 0.21310979835879648]"
brad raffensperger.donald trump,"[-0.03307706008278111, 0.5768502688627097]"
none.john mccain,"[0.1317652383392245, 0.6213216631802373]"
kamala harris.donald trump,"[0.8122085921439046, -0.023786968311070474]"
hillary clinton.bernie sanders,"[0.5654263720629514, -0.025000000000000022]"
tara reade.joe biden,"[0.9623498035450119, -0.01671577744294029]"
none.richard spencer,"[0.7050716207366339, 0.33913704998105515]"
ted cruz.none,"[0.4876543209876545, 0.7027283689263071]"
none.nbc,"[0.2370626212018676, 0.5027885035915542]"
democratic party.donald trump,"[-0.023416699476087478, 0.7539949596048321]"
none.mitt romney,"[0.6238776945276411, -0.023687491569557448]"
none.josh hawley,"[-0.017352640209845126, 0.7027283689263066]"
