none.none,"[0.670655604208863, 0.551366726494253]"
global elite.80% of the world's population,"[0.6677583697234354, 0.5981710220975597]"
donald trump.none,"[0.6192073216401646, 0.6392052875131556]"
hillary clinton.none,"[0.7687853604144557, 0.7138172768325985]"
global elite.world population,"[0.6042908224076279, 0.5027289266221951]"
donald trump.hillary clinton,"[0.7357452966714899, 0.5730732565813597]"
vladimir putin.target,"[0.5906288532675708, 0.28294815740162393]"
new world order.80% of the world's population,"[0.590460526315789, 0.45196324143692573]"
donald trump.joe biden,"[0.48246297739672644, 0.5142180094786729]"
hillary clinton.donald trump,"[0.6321680531904981, 0.36659344533709837]"
none.hillary clinton,"[0.5081481481481488, 0.13813813813813808]"
international criminal court.vladimir putin,"[0.5743589743589744, 0.36103896103896127]"
alexandria ocasio-cortez.none,"[0.5007518796992481, 0.06321401370906328]"
joe biden.donald trump,"[0.5547210300429184, 0.2869565217391304]"
james comey.none,"[0.5521582733812951, 0.10382513661202195]"
target.walmart,"[0.6541666666666672, 0.30801687763713076]"
