none.none,"[0.7219524225040774, 0.5974423771158943]"
covid-19.none,"[0.516560419647034, 0.499275011473964]"
donald trump.joe biden,"[0.6003444870830417, 0.5401556191794797]"
russia.ukraine,"[0.7461933260231411, 0.48564441024565713]"
james comey.hillary clinton,"[0.5167651640502713, -0.02303578969063138]"
donald trump.republican party,"[-0.04145133361448392, 0.5317589905407225]"
anthony fauci.none,"[0.14124850464747077, 0.5132123962808864]"
harvey weinstein.none,"[0.5524554263771255, -0.03841893751976497]"
alexandria ocasio-cortez.none,"[0.31884410189100887, 0.6763466440663638]"
kamala harris.none,"[0.5973561329671737, -0.026630603898807247]"
north korea.south korea,"[0.5029571828201786, -0.023687491569557465]"
joe biden.afghanistan,"[0.9999999999999998, -0.012345679012345678]"
donald trump.george floyd,"[0.623877694527641, -0.023687491569557455]"
