joe biden,"[0.6033743784750306, 0.37799099157716726]"
stephen curry,"[-0.04496402877697842, 0.551912568306011]"
healthcare workers,"[-0.03350230499134526, 0.6615556366241068]"
johnson & johnson,"[0.7727568259157259, -0.022632398521418212]"
john kerry,"[-0.03535810151892136, 0.6982120021884473]"
dolly parton,"[-0.0333200079946704, 0.5196064785314718]"
adama barrow,"[0.8148629450829784, -0.020371077711738024]"
andy murray,"[0.5702659485122011, -0.021652326748721036]"
bob dylan,"[0.5702659485122011, -0.021652326748721043]"
tony evers,"[0.8933418124639813, -0.016645872314630748]"
