joe biden,"[0.5168850488306025, 0.44824938215053617]"
ivanka trump,"[0.6628017598642337, -0.04303261702759602]"
neil gorsuch,"[0.2712978681000514, 0.5714630769430152]"
cory booker,"[-0.029259264337713243, 0.6645804049346394]"
rex tillerson,"[-0.03332000799467041, 0.7962800580092683]"
david hogg,"[-0.02862918339559248, 0.5652767597611377]"
draymond green,"[0.5029571828201786, -0.029194171176283788]"
stephen curry,"[-0.023416699476087478, 0.753994959604832]"
tedros adhanom ghebreyesus,"[0.3083333333333333, 0.6540084388185654]"
victim,"[0.8114408259335795, -0.03081180112566606]"
chloé zhao,"[1.0, -0.01234567901234568]"
