none.none,"[0.5867215234709215, 0.5156222004503315]"
covid-19.none,"[0.46567566474638833, 0.5834961017684194]"
hillary clinton.none,"[0.7994563370082253, 0.747989469501272]"
donald trump.north korea,"[0.7096074572904973, 0.16269920976325442]"
joe biden.none,"[0.15815851389599012, 0.7578678608782836]"
derek chauvin.george floyd,"[0.007052032152677065, 0.5471401065251432]"
donald trump.american democracy,"[0.5105539215704882, -0.03670154971622359]"
hillary clinton.bernie sanders,"[0.7050716207366341, -0.023710533320906668]"
donald trump.jared kushner,"[-0.026440185777623783, 0.7050480775921937]"
theresa may.none,"[0.5463293661711337, -0.04832440622384906]"
donald trump.george floyd,"[-0.021592229508385213, 0.7848217948910126]"
trump administration.immigrants,"[0.6636625827793496, -0.02230498683727354]"
donald trump.rex tillerson,"[-0.022030293204293772, 0.663573358408888]"
mark harris.dan mccready,"[0.5654263720629515, 0.2681441039892575]"
donald trump.tiktok,"[0.7027819284987277, -0.01756820922315766]"
