joe biden,"[0.5205741638268829, 0.4939328918248388]"
anthony fauci,"[0.07269324673263498, 0.521127243637208]"
ted cruz,"[0.8868497048110295, -0.025560897239964856]"
arvind kejriwal,"[0.5028922501087643, -0.09464876412413047]"
giannis antetokounmpo,"[-0.01974581796323499, 0.5264561263157923]"
aaron judge,"[-0.03345904088189969, 0.6606901539994653]"
maruti suzuki,"[-0.03978415966885738, 0.6204836822995432]"
okezie ikpeazu,"[0.6616835701069887, -0.020805719063142738]"
yogi adityanath,"[0.5029571828201788, -0.029194171176283784]"
nick foles,"[0.8299703822290437, -0.01721877020482622]"
mark mcgowan,"[0.5702659485122011, 0.5701779377163204]"
giorgia meloni,"[0.5702659485122011, 0.7027283689263066]"
