none.none,"[0.6539016072513362, 0.4513808974326077]"
none.joe biden,"[0.5803992537869689, 0.3605212518089221]"
none.alex jones,"[0.5227964794265895, 0.043800521404510226]"
joe biden.donald trump,"[0.388846649537072, 0.5944928656572916]"
vladimir putin.international criminal court,"[0.65268887400639, 0.30049838203521007]"
ted cruz.donald trump,"[0.3205372116450887, 0.9096327049309476]"
none.bill clinton,"[0.11236147740825037, 0.665453033507156]"
none.international criminal court,"[0.5524554263771255, 0.15847811726903033]"
none.marco rubio,"[0.768851744438489, -0.029194171176283777]"
vladimir putin.none,"[-0.03042903097250923, 0.5701779377163205]"
bernie sanders.none,"[0.9475142485638548, -0.017568209223157664]"
none.piers morgan,"[-0.023514409276699236, 0.6269841269841272]"
none.obamacare,"[-0.02341669947608747, 0.7539949596048322]"
hillary clinton.none,"[-0.01735264020984512, 0.7027283689263071]"
bernie sanders.hillary clinton,"[-0.02469135802469136, 0.7027283689263071]"
none.derek chauvin,"[0.5702659485122009, -0.021652326748721036]"
none.sam bankman-fried,"[0.7027819284987272, nan]"
