none.covid-19,"[0.5364024591746034, 0.37017473304892284]"
joe biden.donald trump,"[0.516820442952432, 0.3613016225726443]"
none.elon musk,"[0.6422778462279156, 0.2605263279866004]"
ted cruz.donald trump,"[0.12350459887405457, 0.8453587002672107]"
none.benjamin netanyahu,"[0.6238776945276412, -0.023687491569557458]"
none.harvey weinstein,"[0.243236058361094, 0.5652767597611376]"
none.nicolás maduro,"[0.5029571828201784, -0.029194171176283812]"
nhs staff.none,"[0.570265948512201, -0.021652326748721033]"
none.ron desantis,"[0.5654263720629514, -0.028988551782622426]"
bernie sanders.hillary clinton,"[-0.024691358024691367, 0.7027283689263071]"
