none.none,"[0.635717800303922, 0.580140592557938]"
donald trump.joe biden,"[0.6052090299891004, 0.2684110163037592]"
covid-19.none,"[0.70140911024853, 0.5100270700248045]"
hillary clinton.none,"[0.48158501813801974, 0.6181983848270551]"
russia.ukraine,"[0.5607218560444145, 0.6180320637584196]"
donald trump.ted cruz,"[0.7267390469753773, 0.7050480775921933]"
donald trump.american democracy,"[0.5105539215704882, -0.03670154971622359]"
donald trump.michael flynn,"[0.2833107999721561, 0.6010596998764738]"
donald trump.george floyd,"[-0.022930204969045007, 0.7382795315397968]"
bernie sanders.hillary clinton,"[0.7688517444384892, -0.023687491569557458]"
saudi arabia.yemen,"[0.3653005118269648, 0.7539949596048319]"
marco rubio.none,"[0.8624541497922232, -0.02500000000000001]"
bill clinton.hillary clinton,"[0.5654263720629515, -0.02898855178262244]"
donald trump.tiktok,"[0.7027819284987274, -0.017568209223157667]"
john kasich.none,"[0.5702659485122011, 0.7027283689263071]"
josh hawley.none,"[0.9483026315397414, 0.3056497668720593]"
