none.none,"[0.6707021787894639, 0.5542039185931027]"
global elite.80% of the world's population,"[0.5137769936325381, 0.4300168612469251]"
vladimir putin.target,"[0.6122549670499642, 0.21266766204271517]"
donald trump.joe biden,"[0.6899105609498344, 0.5401556191794799]"
international criminal court.donald trump,"[0.5059868156364592, 0.1730798375653585]"
joe biden.donald trump,"[0.5881996147583671, 0.5878861268789373]"
international criminal court.russia,"[0.7050716207366339, -0.026773977630083316]"
hillary clinton.americans,"[0.7230954863859973, 0.14926568155529057]"
minotaur.congress,"[0.5598186666266679, 0.25770848305612554]"
bill clinton.hillary clinton,"[-0.035281911484616305, 0.6966878041088421]"
fbi.donald trump,"[0.6616705235790687, 0.4297284477216419]"
none.covid-19,"[0.7540177231300166, -0.02371053332090666]"
north korea.south korea,"[0.570265948512201, 0.5701779377163205]"
hillary clinton.bernie sanders,"[0.5702659485122011, -0.017568209223157674]"
bernie sanders.hillary clinton,"[0.6238776945276409, -0.01664587231463074]"
jill stein.none,"[-0.01735264020984512, 0.702728368926307]"
