united states,"[-0.07624928516630235, 0.8892972917998876]",85,105
united states,"[-0.1046511627906977, 0.8892972917998875]",86,106
united states,"[-0.10465116279069768, 0.7777777777777777]",87,107
united states,"[-0.10465116279069768, 0.7777777777777777]",88,108
united states,"[-0.10465116279069771, 0.7777777777777778]",89,109
united states,"[-0.13386455713123388, 0.7777777777777778]",90,110
united states,"[-0.1338645571312339, 0.5410931832206152]",91,111
united states,"[-0.1338645571312339, 0.5410931832206154]",92,112
george floyd,"[-0.06976941604380087, 0.7446228731561176]",105,125
george floyd,"[-0.11792880437339945, 0.7446228731561175]",106,126
india,"[-0.10206207261596578, 0.5423261445466405]",129,149
india,"[-0.1020620726159658, 0.5423261445466404]",130,150
consumers,"[-0.10206207261596577, 0.5423261445466405]",63,83
consumers,"[-0.10206207261596578, 0.5423261445466404]",64,84
consumers,"[-0.10206207261596578, 0.5423261445466405]",65,85
consumers,"[-0.10206207261596577, 0.5423261445466405]",66,86
consumers,"[-0.10206207261596578, 0.5423261445466405]",67,87
consumers,"[-0.1020620726159658, 0.5423261445466404]",68,88
consumers,"[-0.10206207261596578, 0.5423261445466405]",69,89
consumers,"[-0.10206207261596578, 0.5423261445466405]",70,90
consumers,"[-0.10206207261596578, 0.5423261445466405]",71,91
consumers,"[-0.1020620726159658, 0.5423261445466404]",72,92
consumers,"[-0.05555555555555556, 0.9999999999999999]",89,109
consumers,"[-0.08084520834544433, 0.9999999999999997]",90,110
consumers,"[-0.08084520834544433, 0.6859943405700354]",91,111
consumers,"[-0.08084520834544434, 0.6859943405700354]",92,112
consumers,"[-0.08084520834544434, 0.6859943405700354]",93,113
consumers,"[-0.08084520834544434, 0.6859943405700353]",94,114
consumers,"[-0.08084520834544434, 0.6859943405700354]",95,115
consumers,"[-0.08084520834544434, 0.6859943405700354]",96,116
consumers,"[-0.08084520834544434, 0.6859943405700354]",97,117
consumers,"[-0.08084520834544434, 0.6859943405700353]",98,118
consumers,"[-0.08084520834544434, 0.6859943405700354]",99,119
consumers,"[-0.08084520834544434, 0.6859943405700353]",100,120
consumers,"[-0.11095900821829634, 0.5892556509887894]",101,121
consumers,"[-0.1400788814320553, 0.5892556509887896]",102,122
consumers,"[-0.25877458475338283, 0.5700877125495689]",119,139
consumers,"[-0.2049800154226969, 0.5700877125495689]",120,140
consumers,"[-0.17712297710801903, 0.6614378277661473]",121,141
consumers,"[-0.17712297710801903, 0.6614378277661473]",122,142
americans,"[-0.012422599874998837, 0.5294143019465852]",29,49
americans,"[0.039123039821797566, 0.5294143019465853]",30,50
americans,"[0.03912303982179761, 0.5294143019465853]",31,51
americans,"[0.03912303982179761, 0.5294143019465853]",32,52
americans,"[0.03912303982179755, 0.5294143019465852]",33,53
americans,"[0.03912303982179754, 0.5294143019465853]",34,54
americans,"[0.03912303982179755, 0.5294143019465853]",35,55
americans,"[0.03912303982179755, 0.5294143019465853]",36,56
