joe biden,"[-0.11309185729066278, 0.6919053632356148]",87,107
joe biden,"[0.4411565784621778, 0.5458804773648626]",88,108
joe biden,"[0.5087350610905356, 0.30588764516074907]",90,110
joe biden,"[-0.14044421052925762, 0.5134848608242478]",97,117
joe biden,"[-0.1405649569950365, 0.5094297448965346]",98,118
barack obama,"[0.5413162253377902, -0.17817416127494962]",109,129
barack obama,"[0.6264518021884175, -0.14907119849998596]",110,130
barack obama,"[0.5443310539518176, -0.10846522890932805]",111,131
barack obama,"[0.5443310539518176, -0.10846522890932805]",112,132
barack obama,"[0.5443310539518176, -0.10846522890932805]",113,133
barack obama,"[0.5443310539518176, -0.0857492925712544]",114,134
barack obama,"[0.6871842709362768, -0.0857492925712544]",115,135
barack obama,"[0.6871842709362769, -0.05882352941176468]",116,136
police,"[-0.254609368194002, 0.546018906231948]",55,75
police,"[-0.25460936819400204, 0.546018906231948]",56,76
police,"[-0.1790235141109993, 0.5762094850891226]",58,78
police,"[-0.18021638957923647, 0.5773502691896258]",61,81
police,"[-0.20208779815274222, 0.5773502691896257]",62,82
police,"[0.6437263095787182, -0.10360608425945601]",128,148
police,"[0.6871842709362768, -0.08574929257125442]",129,149
police,"[0.6871842709362768, -0.08574929257125442]",130,150
police,"[0.6871842709362768, -0.08574929257125438]",131,151
police,"[0.687184270936277, nan]",132,152
nancy pelosi,"[0.3619499301533079, 0.5423261445466406]",133,153
nancy pelosi,"[0.4513652846144006, 0.5892556509887896]",134,154
donald trump,"[0.25607375986579195, 0.6616591390145992]",0,20
donald trump,"[0.2309782890611944, 0.630528288755463]",1,21
donald trump,"[0.20833333333333334, 0.6054055145966813]",2,22
donald trump,"[0.20833333333333334, 0.630528288755463]",3,23
donald trump,"[0.23097828906119436, 0.6305282887554629]",4,24
donald trump,"[0.0458349248514106, 0.6305282887554629]",5,25
donald trump,"[-0.0332105582077536, 0.8267972847076844]",6,26
donald trump,"[-0.011024346592560588, 0.8267972847076843]",7,27
donald trump,"[-0.011024346592560588, 0.8485281374238568]",8,28
donald trump,"[-0.15151515151515152, 0.8136815083288088]",9,29
donald trump,"[-0.1820900987217544, 0.8136815083288088]",10,30
donald trump,"[-0.1953609882165222, 0.6187184335382289]",65,85
donald trump,"[-0.1658369978468346, 0.6187184335382289]",66,86
donald trump,"[-0.13859178573504738, 0.8477912478906581]",67,87
donald trump,"[-0.13859178573504735, 0.8477912478906581]",68,88
donald trump,"[-0.13859178573504738, 0.8477912478906581]",69,89
donald trump,"[-0.13859178573504735, 0.8477912478906581]",70,90
donald trump,"[-0.11095900821829639, 0.8892972917998878]",71,91
donald trump,"[-0.07624928516630235, 0.8892972917998878]",72,92
donald trump,"[-0.05555555555555555, 0.9999999999999999]",85,105
donald trump,"[-0.05555555555555555, 0.9999999999999998]",86,106
donald trump,"[-0.05555555555555555, 0.9999999999999999]",87,107
donald trump,"[-0.07147416898918632, 0.9999999999999999]",88,108
donald trump,"[-0.07147416898918632, 0.9469425238482128]",89,109
donald trump,"[-0.07147416898918633, 0.9469425238482124]",90,110
donald trump,"[-0.07147416898918632, 0.9469425238482128]",91,111
donald trump,"[-0.10401019349846877, 0.6349812749303676]",92,112
donald trump,"[-0.10401019349846877, 0.6349812749303676]",93,113
donald trump,"[-0.10401019349846877, 0.6349812749303675]",94,114
donald trump,"[-0.10401019349846877, 0.6349812749303676]",95,115
hillary clinton,"[-0.13729241184131905, 0.6136788014174778]",0,20
hillary clinton,"[-0.1508985512803229, 0.6363961030678928]",1,21
hillary clinton,"[-0.1742080835919174, 0.6608848630649762]",2,22
elizabeth warren,"[-0.13130643285972254, 0.7001400420140049]",55,75
elizabeth warren,"[-0.13130643285972254, 0.7001400420140049]",56,76
anthony fauci,"[0.6871842709362768, nan]",84,104
anthony fauci,"[0.2432668163999206, 0.9035424634952139]",85,105
anthony fauci,"[0.2432668163999206, 0.9035424634952139]",86,106
anthony fauci,"[0.2432668163999206, 0.903542463495214]",87,107
anthony fauci,"[0.1841149235796646, 0.7667914477231108]",88,108
anthony fauci,"[0.6893528781752981, 0.03952847075210474]",108,128
firefighters,"[0.6871842709362768, -0.0588235294117647]",92,112
firefighters,"[0.1430140160603945, 0.6349812749303675]",93,113
firefighters,"[0.1430140160603945, 0.6349812749303675]",94,114
firefighters,"[0.14301401606039452, 0.6349812749303676]",95,115
firefighters,"[0.1137873909204391, 0.5913636636275172]",96,116
firefighters,"[0.1137873909204391, 0.5913636636275171]",97,117
firefighters,"[0.11378739092043909, 0.5913636636275174]",98,118
firefighters,"[0.11378739092043906, 0.5913636636275175]",99,119
firefighters,"[0.11378739092043906, 0.5913636636275175]",100,120
firefighters,"[0.11378739092043906, 0.5913636636275174]",101,121
firefighters,"[0.04256282653793741, 0.5913636636275174]",102,122
firefighters,"[1.0, nan]",136,156
firefighters,"[1.0, -0.05882352941176469]",137,157
firefighters,"[1.0, -0.05882352941176469]",138,158
firefighters,"[0.6871842709362768, -0.05882352941176469]",139,159
firefighters,"[0.6871842709362768, -0.08574929257125441]",140,160
firefighters,"[0.6871842709362768, -0.08574929257125441]",141,161
firefighters,"[0.5443310539518175, -0.08574929257125442]",142,162
firefighters,"[0.5443310539518176, -0.10846522890932808]",143,163
firefighters,"[0.5443310539518176, -0.10846522890932808]",144,164
firefighters,"[0.5443310539518176, -0.10846522890932808]",145,165
firefighters,"[0.5443310539518176, -0.10846522890932807]",146,166
firefighters,"[0.5443310539518176, -0.10846522890932807]",147,167
firefighters,"[0.5443310539518176, -0.10846522890932807]",148,168
lebron james,"[0.5443310539518176, nan]",114,134
lebron james,"[0.6871842709362768, nan]",145,165
lionel messi,"[0.5443310539518174, nan]",148,168
vladimir putin,"[-0.0975342893301088, 0.6423577224086272]",37,57
vladimir putin,"[-0.0975342893301088, 0.6423577224086271]",38,58
vladimir putin,"[-0.09753428933010881, 0.6423577224086272]",39,59
vladimir putin,"[-0.09753428933010881, 0.6423577224086272]",40,60
vladimir putin,"[-0.09753428933010881, 0.6423577224086272]",41,61
vladimir putin,"[-0.11396057645963795, 0.6063390625908326]",42,62
vladimir putin,"[-0.11396057645963797, 0.8091547798786778]",43,63
vladimir putin,"[-0.09523809523809523, 0.8091547798786778]",44,64
vladimir putin,"[-0.09523809523809526, 0.8091547798786777]",45,65
vladimir putin,"[-0.09523809523809523, 0.8091547798786777]",46,66
vladimir putin,"[-0.09523809523809526, 0.8091547798786777]",47,67
vladimir putin,"[-0.09523809523809523, 0.8091547798786777]",48,68
vladimir putin,"[-0.09523809523809523, 0.8091547798786777]",49,69
vladimir putin,"[-0.09523809523809523, 0.8091547798786777]",50,70
vladimir putin,"[-0.11340230290662859, 0.7481290972721262]",51,71
vladimir putin,"[-0.11340230290662859, 0.7481290972721263]",52,72
vladimir putin,"[-0.08084520834544434, 0.6859943405700354]",137,157
vladimir putin,"[-0.08084520834544434, 0.6859943405700353]",138,158
vladimir putin,"[-0.08084520834544436, 0.6859943405700352]",139,159
jeremy corbyn,"[-0.11095900821829639, 0.685994340570035]",11,31
jeremy corbyn,"[-0.08084520834544433, 0.6859943405700353]",12,32
jeremy corbyn,"[-0.05555555555555555, 0.9999999999999999]",13,33
jeremy corbyn,"[-0.08084520834544434, 0.6859943405700353]",14,34
jeff bezos,"[0.6615238796532958, 0.2509741561779515]",0,20
jeff bezos,"[0.661523879653296, 0.2509741561779515]",1,21
jeff bezos,"[0.6615238796532962, 0.2509741561779514]",2,22
jeff bezos,"[0.6615238796532961, 0.2509741561779515]",3,23
jeff bezos,"[0.1984382386660905, 0.6363961030678925]",5,25
jeff bezos,"[0.16457282576706406, 0.5700877125495688]",6,26
jeff bezos,"[0.18448201388042726, 0.5700877125495689]",7,27
jeff bezos,"[0.18448201388042723, 0.5700877125495689]",8,28
jeff bezos,"[-0.17516461808179604, 0.6002450479987809]",11,31
jeff bezos,"[-0.16012815380508708, 0.6002450479987809]",12,32
jeff bezos,"[-0.16012815380508708, 0.6002450479987809]",13,33
jeff bezos,"[-0.1751646180817961, 0.5932069575220652]",14,34
jeff bezos,"[-0.17516461808179606, 0.5932069575220652]",15,35
jeff bezos,"[-0.1751646180817961, 0.6002450479987809]",16,36
jeff bezos,"[-0.16012815380508708, 0.6002450479987809]",17,37
jeff bezos,"[-0.16012815380508713, 0.6092705476888473]",18,38
jeff bezos,"[-0.14585216876555046, 0.6092705476888474]",19,39
jeff bezos,"[-0.2122460814867451, 0.6092705476888474]",20,40
john mccain,"[-0.09809737727905714, 0.8892972917998878]",63,83
john mccain,"[-0.07624928516630235, 0.8892972917998878]",64,84
"none
villain: none
victim: none","[-0.08084520834544434, 0.6859943405700353]",133,153
"none
villain: none
victim: none","[-0.08084520834544434, 0.685994340570035]",134,154
tom brady,"[-0.10206207261596578, 0.685994340570035]",0,20
tom brady,"[1.0, nan]",102,122
tom brady,"[0.6871842709362768, 0.6859943405700353]",103,123
tom brady,"[0.24041118447297552, 0.6859943405700353]",104,124
james comey,"[-0.10457596752302643, 0.8893281717864169]",15,35
james comey,"[-0.11526067913468745, 0.8809921937040598]",16,36
james comey,"[-0.11526067913468747, 0.88099219370406]",17,37
james comey,"[-0.11526067913468746, 0.889328171786417]",18,38
james comey,"[-0.10457596752302645, 0.8995004162812389]",19,39
james comey,"[-0.09411837077072378, 0.8995004162812388]",20,40
james comey,"[-0.10457596752302645, 0.889328171786417]",21,41
james comey,"[-0.10457596752302643, 0.889328171786417]",22,42
james comey,"[-0.10457596752302643, 0.889328171786417]",23,43
james comey,"[-0.10457596752302645, 0.8893281717864169]",24,44
james comey,"[-0.10457596752302645, 0.8893281717864171]",25,45
james comey,"[-0.10457596752302645, 0.8893281717864171]",26,46
james comey,"[-0.10457596752302645, 0.8995004162812388]",27,47
james comey,"[-0.10457596752302645, 0.9481194446289042]",28,48
james comey,"[-0.08716272672808177, 0.9481194446289043]",29,49
james comey,"[-0.08716272672808177, 0.9481194446289043]",30,50
james comey,"[-0.08716272672808177, 0.9481194446289043]",31,51
james comey,"[-0.08716272672808179, 0.9481194446289042]",32,52
emmanuel macron,"[-0.05555555555555556, 0.9999999999999999]",13,33
emmanuel macron,"[-0.05555555555555556, 0.9999999999999997]",14,34
emmanuel macron,"[-0.05555555555555555, 0.9999999999999999]",15,35
emmanuel macron,"[-0.05555555555555555, 0.9999999999999999]",16,36
emmanuel macron,"[-0.05555555555555555, 0.9999999999999999]",17,37
emmanuel macron,"[-0.07624928516630235, 0.9999999999999997]",18,38
emmanuel macron,"[-0.1046511627906977, 0.7777777777777779]",19,39
emmanuel macron,"[-0.10465116279069768, 0.7777777777777781]",20,40
emmanuel macron,"[-0.10465116279069768, 0.777777777777778]",21,41
emmanuel macron,"[-0.1046511627906977, 0.7777777777777781]",22,42
emmanuel macron,"[-0.1046511627906977, 0.7777777777777781]",23,43
emmanuel macron,"[-0.10465116279069767, 0.7777777777777782]",24,44
emmanuel macron,"[-0.10465116279069767, 0.7777777777777781]",25,45
emmanuel macron,"[-0.1046511627906977, 0.7777777777777783]",26,46
emmanuel macron,"[-0.1046511627906977, 0.7777777777777781]",27,47
emmanuel macron,"[-0.1338645571312339, 0.7777777777777783]",28,48
emmanuel macron,"[-0.1338645571312339, 0.5410931832206153]",29,49
emmanuel macron,"[-0.1564094248593684, 0.5410931832206154]",30,50
emmanuel macron,"[-0.1338645571312339, 0.6423577224086271]",31,51
emmanuel macron,"[-0.09753428933010883, 0.6423577224086271]",32,52
emmanuel macron,"[-0.09753428933010884, 0.6423577224086271]",33,53
emmanuel macron,"[-0.11396057645963795, 0.6423577224086271]",34,54
emmanuel macron,"[-0.11396057645963795, 0.6063390625908326]",35,55
emmanuel macron,"[-0.11396057645963795, 0.6063390625908325]",36,56
facebook,"[0.6871842709362768, nan]",22,42
facebook,"[0.6871842709362768, -0.08574929257125441]",23,43
facebook,"[0.6871842709362768, -0.08574929257125441]",24,44
facebook,"[0.6871842709362768, -0.08574929257125442]",25,45
facebook,"[1.0, nan]",88,108
facebook,"[1.0, -0.05882352941176469]",89,109
facebook,"[1.0, -0.05882352941176469]",90,110
facebook,"[1.0, -0.05882352941176469]",91,111
facebook,"[1.0, -0.05882352941176469]",92,112
facebook,"[1.0, -0.05882352941176469]",93,113
facebook,"[0.6871842709362768, -0.05882352941176469]",94,114
facebook,"[0.6871842709362768, -0.08574929257125441]",95,115
facebook,"[0.6871842709362768, -0.08574929257125441]",96,116
facebook,"[0.6871842709362768, -0.08574929257125441]",97,117
facebook,"[0.6871842709362769, -0.08574929257125441]",98,118
facebook,"[0.6871842709362768, -0.08574929257125442]",99,119
facebook,"[0.6871842709362768, -0.08574929257125441]",100,120
mitch mcconnell,"[-0.1217161238900369, 0.5423261445466405]",55,75
mitch mcconnell,"[-0.10206207261596577, 0.5423261445466405]",56,76
mitch mcconnell,"[-0.10206207261596577, 0.6859943405700353]",57,77
mitch mcconnell,"[-0.08084520834544434, 0.6859943405700352]",58,78
mitch mcconnell,"[-0.08084520834544434, 0.6859943405700354]",59,79
mitch mcconnell,"[-0.08084520834544434, 0.6859943405700354]",60,80
mitch mcconnell,"[-0.08084520834544434, 0.6859943405700353]",61,81
mitch mcconnell,"[-0.08084520834544434, 0.6859943405700352]",62,82
mitch mcconnell,"[-0.08084520834544436, 0.9999999999999999]",63,83
mitch mcconnell,"[-0.05555555555555555, 0.9999999999999999]",64,84
mitch mcconnell,"[-0.05555555555555555, 0.9999999999999999]",65,85
mitch mcconnell,"[-0.055555555555555566, 0.9999999999999997]",66,86
mitch mcconnell,"[1.0, nan]",95,115
mitch mcconnell,"[1.0, -0.05882352941176469]",96,116
mitch mcconnell,"[1.0, -0.05882352941176469]",97,117
mitch mcconnell,"[1.0, -0.05882352941176469]",98,118
mitch mcconnell,"[1.0, -0.05882352941176469]",99,119
mitch mcconnell,"[1.0, -0.05882352941176469]",100,120
chris wallace,"[0.4564354645876385, 0.5423261445466406]",109,129
chris wallace,"[0.45643546458763845, 0.5423261445466404]",110,130
chris wallace,"[0.5443310539518176, 0.5423261445466405]",111,131
chris wallace,"[0.5443310539518176, 0.5423261445466406]",112,132
chris wallace,"[0.5443310539518176, 0.5423261445466406]",113,133
chris wallace,"[0.5443310539518176, 0.685994340570035]",114,134
justin trudeau,"[-0.05555555555555556, 0.9999999999999999]",85,105
justin trudeau,"[-0.05555555555555556, 0.9999999999999997]",86,106
justin trudeau,"[-0.05555555555555555, 0.9999999999999999]",87,107
justin trudeau,"[-0.05555555555555555, 0.9999999999999999]",88,108
justin trudeau,"[-0.05555555555555555, 0.9999999999999999]",89,109
justin trudeau,"[-0.05555555555555555, 0.9999999999999997]",90,110
justin trudeau,"[-0.05555555555555555, 0.9999999999999999]",91,111
justin trudeau,"[-0.05555555555555555, 0.9999999999999999]",92,112
justin trudeau,"[-0.05555555555555555, 0.9999999999999999]",93,113
justin trudeau,"[-0.055555555555555566, 0.9999999999999997]",94,114
justin trudeau,"[-0.055555555555555566, 0.9999999999999999]",95,115
justin trudeau,"[-0.05555555555555555, 0.9999999999999999]",96,116
justin trudeau,"[-0.05555555555555555, 0.9999999999999999]",97,117
justin trudeau,"[-0.055555555555555566, 0.9999999999999997]",98,118
justin trudeau,"[-0.055555555555555566, 0.9999999999999999]",99,119
justin trudeau,"[-0.05555555555555555, 0.9999999999999999]",100,120
justin trudeau,"[-0.07624928516630232, 0.8892972917998878]",101,121
justin trudeau,"[-0.07624928516630235, 0.8892972917998878]",102,122
angela merkel,"[-0.13130643285972254, 0.7001400420140048]",15,35
angela merkel,"[-0.13130643285972254, 0.7001400420140048]",16,36
angela merkel,"[-0.149376359921712, 0.6616591390145993]",17,37
angela merkel,"[-0.20501713196594695, 0.6616591390145993]",18,38
angela merkel,"[-0.23055616708169396, 0.5330751587507053]",20,40
angela merkel,"[-0.205017131965947, 0.5773502691896258]",21,41
angela merkel,"[-0.1802163895792365, 0.5773502691896258]",22,42
angela merkel,"[-0.1802163895792365, 0.5773502691896258]",23,43
angela merkel,"[-0.1802163895792365, 0.6301902204663268]",24,44
angela merkel,"[-0.15564320159117256, 0.6301902204663266]",25,45
angela merkel,"[-0.15564320159117254, 0.6301902204663266]",26,46
angela merkel,"[-0.15564320159117254, 0.6301902204663266]",27,47
angela merkel,"[-0.19440394783993473, 0.6950480468569161]",28,48
angela merkel,"[-0.16326530612244902, 0.608695652173913]",29,49
angela merkel,"[-0.16326530612244902, 0.608695652173913]",30,50
angela merkel,"[-0.163265306122449, 0.6086956521739131]",31,51
angela merkel,"[-0.163265306122449, 0.6086956521739131]",32,52
angela merkel,"[-0.13071306028508967, 0.5892556509887895]",33,53
angela merkel,"[-0.11095900821829639, 0.5892556509887896]",34,54
angela merkel,"[-0.11095900821829639, 0.8892972917998878]",35,55
angela merkel,"[-0.07624928516630235, 0.8892972917998878]",36,56
lindsey graham,"[-0.10206207261596577, 0.5423261445466404]",39,59
lindsey graham,"[-0.10206207261596577, 0.5423261445466404]",40,60
lindsey graham,"[-0.10206207261596577, 0.5423261445466405]",41,61
lindsey graham,"[-0.10206207261596577, 0.5423261445466405]",42,62
lindsey graham,"[-0.10206207261596577, 0.5423261445466405]",43,63
lindsey graham,"[-0.10206207261596577, 0.5423261445466404]",44,64
lindsey graham,"[-0.10206207261596577, 0.5423261445466405]",45,65
lindsey graham,"[-0.14852213144650114, 0.5423261445466405]",46,66
lindsey graham,"[-0.17712297710801905, 0.6614378277661477]",47,67
lindsey graham,"[-0.17712297710801905, 0.6614378277661476]",48,68
lindsey graham,"[-0.17712297710801903, 0.6614378277661477]",49,69
lindsey graham,"[-0.17712297710801903, 0.6614378277661477]",50,70
lindsey graham,"[-0.16502459049611237, 0.51604684654214]",53,73
lindsey graham,"[-0.1385917857350474, 0.51604684654214]",54,74
lindsey graham,"[-0.1385917857350474, 0.5160468465421398]",55,75
lindsey graham,"[-0.1385917857350474, 0.5160468465421398]",56,76
ted cruz,"[0.2432668163999206, 0.6859943405700353]",5,25
ted cruz,"[0.6871842709362769, 0.9999999999999997]",6,26
pope francis,"[0.9999999999999999, -0.05882352941176469]",63,83
pope francis,"[0.9999999999999999, -0.05882352941176469]",64,84
pope francis,"[0.9999999999999999, -0.05882352941176469]",65,85
pope francis,"[1.0, -0.05882352941176469]",66,86
pope francis,"[0.9999999999999999, -0.05882352941176469]",67,87
pope francis,"[0.9999999999999999, -0.05882352941176469]",68,88
pope francis,"[0.9999999999999999, -0.05882352941176468]",69,89
pope francis,"[1.0, -0.05882352941176468]",70,90
