donald trump,"[0.14391267520458537, 0.5456611509887991]",0,20
donald trump,"[0.26805248962009065, 0.5140658019569446]",70,90
donald trump,"[0.22437511990718895, 0.5097108469718286]",71,91
donald trump,"[0.2650126926075831, 0.5419266573496935]",72,92
donald trump,"[0.5075363257939299, 0.03506849841523752]",77,97
donald trump,"[0.6428971094907882, 0.06202223579304521]",78,98
donald trump,"[0.649297480904922, 0.06219106108515426]",79,99
donald trump,"[0.6846646106622819, 0.1637776998064686]",80,100
donald trump,"[0.6871842709362768, -0.05882352941176469]",81,101
donald trump,"[1.0, nan]",82,102
donald trump,"[1.0, nan]",84,104
donald trump,"[0.8351208175123355, 0.5007733956671915]",85,105
donald trump,"[0.3352699879790815, 0.6479722854739198]",87,107
donald trump,"[0.38113180605888125, 0.6162725941855386]",88,108
donald trump,"[0.33855606033146285, 0.6239259836601019]",89,109
donald trump,"[0.44464567253830145, 0.5504302401893564]",90,110
donald trump,"[0.4036059063770434, 0.5408074243180492]",91,111
donald trump,"[0.34811810803201454, 0.5701680975241247]",93,113
donald trump,"[0.2902155942950533, 0.5624980277097895]",94,114
donald trump,"[0.26244198017022896, 0.5299135330193507]",95,115
donald trump,"[0.24719538045589468, 0.5056854088979943]",96,116
donald trump,"[0.14102408286039472, 0.5425329847837899]",97,117
donald trump,"[-0.02026813158129252, 0.535317130603633]",98,118
donald trump,"[-0.059831300718488585, 0.5050712760465513]",108,128
donald trump,"[-0.1040070668793609, 0.5632255836425075]",110,130
donald trump,"[0.06147302214453449, 0.5525764680597678]",133,153
donald trump,"[-0.055686331373691514, 0.5728918992315463]",134,154
donald trump,"[-0.040253824294970646, 0.5307024473145772]",135,155
donald trump,"[0.11811389781538352, 0.5271476220041359]",137,157
donald trump,"[0.32956498409167984, 0.5450414434747546]",138,158
donald trump,"[0.38633370464312783, 0.5793584501023473]",139,159
donald trump,"[0.43167417410889036, 0.5993483184323906]",140,160
donald trump,"[0.4539383903304954, 0.532833624994041]",141,161
