joe biden,"[-0.1217161238900369, 0.5423261445466406]",9,29
joe biden,"[-0.10206207261596578, 0.5423261445466406]",10,30
joe biden,"[-0.1217161238900369, 0.5423261445466406]",14,34
joe biden,"[-0.11309185729066278, 0.6919053632356148]",87,107
joe biden,"[0.30316953129541624, 0.5458804773648626]",88,108
joe biden,"[0.25941649671427414, 0.5736277915056597]",89,109
joe biden,"[0.5199835409730609, 0.3649981975442157]",90,110
joe biden,"[0.41749540509208183, 0.5022118564594755]",91,111
joe biden,"[0.537646198785801, 0.37863284572050415]",92,112
joe biden,"[0.2623126362260149, 0.5556208082654905]",93,113
joe biden,"[0.5953862589086998, 0.376535725537331]",97,117
bernie sanders,"[0.5361902647381804, 0.1248210165337611]",7,27
bernie sanders,"[0.6053142907110767, 0.20924653302451018]",8,28
barack obama,"[-0.07323575067755475, 0.6351792355461551]",0,20
barack obama,"[-0.09161442322112118, 0.6280647186451043]",1,21
barack obama,"[-0.14652356753831736, 0.625]",2,22
barack obama,"[0.5048781642974013, -0.17149858514250882]",98,118
barack obama,"[0.5048781642974013, -0.25]",99,119
barack obama,"[0.5048781642974013, -0.25]",100,120
barack obama,"[0.5048781642974013, -0.25]",101,121
barack obama,"[0.5048781642974013, -0.25]",102,122
barack obama,"[0.5048781642974013, -0.25]",103,123
barack obama,"[0.5048781642974013, -0.25]",104,124
barack obama,"[0.5048781642974013, -0.2192645048267573]",108,128
barack obama,"[0.5739440431835514, -0.1889822365046136]",109,129
barack obama,"[0.6642111641550713, -0.15811388300841892]",110,130
barack obama,"[0.7921180343813395, -0.15811388300841892]",111,131
barack obama,"[0.7921180343813395, -0.15811388300841892]",112,132
barack obama,"[0.7921180343813395, -0.15811388300841892]",113,133
barack obama,"[0.7921180343813395, -0.12499999999999994]",114,134
barack obama,"[0.6871842709362768, -0.0857492925712544]",115,135
barack obama,"[0.6871842709362769, -0.05882352941176468]",116,136
police,"[-0.15629049824118732, 0.5051814855409223]",0,20
police,"[-0.12643043435604343, 0.5913636636275174]",1,21
police,"[-0.12643043435604343, 0.5913636636275172]",2,22
police,"[-0.10401019349846875, 0.6349812749303674]",3,23
police,"[-0.10401019349846878, 0.6349812749303674]",4,24
police,"[0.5443310539518174, 0.6859943405700352]",146,166
police,"[0.5443310539518175, 0.5423261445466403]",147,167
police,"[0.5443310539518175, 0.5423261445466404]",148,168
narendra modi,"[-0.21426863360223203, 0.5448623679425841]",41,61
narendra modi,"[-0.21426863360223203, 0.5448623679425841]",42,62
narendra modi,"[-0.18981415059132412, 0.5762094850891225]",43,63
narendra modi,"[-0.14724203476646208, 0.5762094850891225]",44,64
narendra modi,"[-0.1304372986874877, 0.5762094850891226]",45,65
narendra modi,"[-0.14852213144650114, 0.5762094850891226]",46,66
narendra modi,"[-0.1304372986874877, 0.5762094850891225]",47,67
narendra modi,"[-0.13043729868748774, 0.5762094850891226]",48,68
narendra modi,"[-0.1304372986874877, 0.5762094850891225]",49,69
narendra modi,"[-0.1304372986874877, 0.5762094850891225]",50,70
