donald trump,"[0.5089895368077256, 0.0081341146796893]",73,109
joe biden,"[0.560112033611204, 0.6963106238227914]",69,105
joe biden,"[0.5601120336112041, 0.5595813731096786]",70,106
joe biden,"[0.09081740244309056, 0.5129008604445476]",75,111
joe biden,"[0.09081740244309051, 0.5129008604445477]",76,112
joe biden,"[0.6551541183558761, 0.2315734286401239]",77,113
joe biden,"[0.6688950444965596, 0.3148174587955051]",78,114
joe biden,"[0.5652004795785746, 0.3607930915768447]",79,115
joe biden,"[0.5112197554883412, 0.08521575358821076]",81,117
police,"[0.5684453561696319, 0.10799968950133902]",72,108
police,"[0.533766547251124, 0.08537310389909959]",73,109
police,"[0.5040016450366442, -0.03913608192227548]",82,118
police,"[0.5025377084941441, 0.1298466932678638]",85,121
police,"[0.5025377084941439, 0.10641080161874089]",86,122
narendra modi,"[-0.06160411036336974, 0.5595813731096786]",122,158
narendra modi,"[-0.05251050315105037, 0.5595813731096786]",123,159
narendra modi,"[-0.05251050315105037, 0.5595813731096786]",124,160
narendra modi,"[-0.05251050315105037, 0.5595813731096786]",125,161
narendra modi,"[-0.05251050315105037, 0.5595813731096786]",126,162
narendra modi,"[-0.05251050315105037, 0.5595813731096786]",127,163
narendra modi,"[-0.05251050315105037, 0.5595813731096785]",128,164
hillary clinton,"[0.5096878587374005, 0.21832059309624285]",6,42
hillary clinton,"[0.5096878587374004, 0.21832059309624285]",7,43
hillary clinton,"[0.5096878587374004, 0.21832059309624285]",8,44
hillary clinton,"[0.5096878587374005, 0.21832059309624285]",9,45
hillary clinton,"[0.5096878587374004, 0.21832059309624285]",10,46
hillary clinton,"[0.5516063336520919, 0.18553393463663326]",11,47
hillary clinton,"[0.5763149583071845, 0.18553393463663326]",12,48
hillary clinton,"[0.5763149583071844, 0.15948286942450401]",13,49
hillary clinton,"[0.5257806403297722, 0.013461300439076528]",14,50
hillary clinton,"[0.6436948032938825, 0.03492747852566283]",15,51
hillary clinton,"[0.650886084204278, 0.08543576577167611]",16,52
hillary clinton,"[0.650886084204278, 0.4461737352094026]",17,53
hillary clinton,"[0.7968339137389159, 0.5145272509897015]",18,54
hillary clinton,"[0.9477824919200281, nan]",19,55
hillary clinton,"[-0.0422200330920749, 0.6963106238227914]",31,67
hillary clinton,"[-0.052510503151050374, 0.6963106238227914]",32,68
hillary clinton,"[-0.052510503151050374, 0.5595813731096787]",33,69
hillary clinton,"[-0.052510503151050374, 0.5595813731096787]",34,70
hillary clinton,"[-0.05251050315105038, 0.5595813731096786]",35,71
hillary clinton,"[-0.05251050315105038, 0.5595813731096786]",36,72
hillary clinton,"[-0.05251050315105038, 0.5595813731096786]",37,73
hillary clinton,"[-0.05251050315105038, 0.5595813731096786]",38,74
hillary clinton,"[-0.05251050315105038, 0.5595813731096786]",39,75
hillary clinton,"[-0.05251050315105038, 0.5595813731096786]",40,76
hillary clinton,"[-0.05251050315105038, 0.5595813731096786]",41,77
hillary clinton,"[-0.06160411036336974, 0.5595813731096786]",42,78
hillary clinton,"[-0.05251050315105037, 0.5595813731096785]",48,84
hillary clinton,"[-0.06160411036336974, 0.5595813731096785]",49,85
gavin newsom,"[-0.10998533626601495, 0.5300977119639272]",83,119
gavin newsom,"[-0.10998533626601496, 0.5300977119639273]",84,120
gavin newsom,"[-0.10998533626601496, 0.5300977119639272]",85,121
gavin newsom,"[-0.10998533626601496, 0.5300977119639272]",86,122
gavin newsom,"[-0.12903225806451607, 0.5300977119639272]",87,123
"none
villain: none
victim: none","[-0.04222003309207491, 0.6963106238227914]",77,113
"none
villain: none
victim: none","[-0.04222003309207491, 0.6963106238227914]",78,114
"none
villain: none
victim: none","[-0.0422200330920749, 0.6963106238227912]",79,115
"none
villain: none
victim: none","[-0.04222003309207491, 0.6963106238227912]",80,116
"none
villain: none
victim: none","[-0.04222003309207489, 0.6963106238227912]",81,117
"none
villain: none
victim: none","[-0.04222003309207491, 0.6963106238227914]",82,118
"none
villain: none
victim: none","[-0.04222003309207489, 0.6963106238227914]",83,119
"none
villain: none
victim: none","[-0.04222003309207491, 0.6963106238227914]",84,120
"none
villain: none
victim: none","[-0.052510503151050374, 0.5595813731096786]",85,121
"none
villain: none
victim: none","[-0.052510503151050374, 0.5595813731096785]",86,122
"none
villain: none
victim: none","[-0.05251050315105037, 0.5595813731096786]",87,123
"none
villain: none
victim: none","[-0.05251050315105037, 0.5595813731096786]",88,124
"none
villain: none
victim: none","[-0.05251050315105038, 0.5595813731096786]",89,125
mark zuckerberg,"[0.5601120336112038, -0.05415303610738825]",71,107
mark zuckerberg,"[0.5601120336112037, -0.05415303610738825]",72,108
mark zuckerberg,"[0.5601120336112038, -0.05415303610738825]",73,109
mark zuckerberg,"[0.5601120336112038, -0.05415303610738825]",74,110
mark zuckerberg,"[0.5601120336112038, -0.04351941398892446]",75,111
mark zuckerberg,"[-0.05251050315105039, 0.6963106238227914]",79,115
mark zuckerberg,"[-0.04222003309207491, 0.6963106238227914]",80,116
mark zuckerberg,"[-0.0422200330920749, 0.6963106238227912]",81,117
mark zuckerberg,"[-0.04222003309207491, 0.6963106238227912]",82,118
mark zuckerberg,"[-0.04222003309207489, 0.6963106238227912]",83,119
mark zuckerberg,"[-0.04222003309207489, 0.6963106238227914]",84,120
mark zuckerberg,"[-0.0422200330920749, 0.6963106238227914]",85,121
mark zuckerberg,"[-0.0606060606060606, 0.6963106238227914]",86,122
jesus christ,"[0.5479221492712085, -0.07293249574894727]",23,59
jesus christ,"[0.5479221492712084, -0.07293249574894727]",24,60
jesus christ,"[0.5479221492712083, -0.07293249574894725]",25,61
jesus christ,"[0.5479221492712084, -0.07293249574894727]",26,62
jesus christ,"[0.5479221492712084, -0.07293249574894727]",27,63
apple,"[-0.04519384537888671, 0.9038618389129032]",5,41
apple,"[-0.04519384537888672, 0.9038618389129031]",6,42
apple,"[-0.052510503151050374, 0.8664485777182119]",7,43
apple,"[-0.05251050315105038, 0.8664485777182119]",8,44
apple,"[-0.05251050315105038, 0.9038618389129028]",9,45
apple,"[-0.04519384537888671, 0.903861838912903]",10,46
apple,"[-0.0451938453788867, 0.903861838912903]",11,47
apple,"[-0.04519384537888671, 0.903861838912903]",12,48
apple,"[-0.04519384537888671, 0.903861838912903]",13,49
apple,"[-0.04519384537888671, 0.903861838912903]",14,50
apple,"[-0.05251050315105038, 0.8664485777182119]",15,51
apple,"[-0.05251050315105038, 0.8664485777182119]",16,52
apple,"[-0.05251050315105038, 0.8664485777182119]",17,53
apple,"[-0.05251050315105038, 0.8664485777182119]",18,54
apple,"[-0.05251050315105038, 0.8664485777182119]",19,55
apple,"[-0.05251050315105037, 0.8664485777182119]",20,56
apple,"[-0.05251050315105038, 0.866448577718212]",21,57
apple,"[-0.05251050315105037, 0.866448577718212]",22,58
apple,"[-0.05251050315105037, 0.866448577718212]",23,59
apple,"[-0.05251050315105037, 0.866448577718212]",24,60
apple,"[-0.05251050315105038, 0.8664485777182119]",25,61
apple,"[-0.05251050315105037, 0.8664485777182122]",26,62
apple,"[-0.05251050315105037, 0.866448577718212]",27,63
apple,"[-0.07537783614444088, 0.866448577718212]",28,64
apple,"[-0.0753778361444409, 0.5832853282858642]",29,65
apple,"[-0.07537783614444088, 0.5832853282858642]",30,66
apple,"[-0.0753778361444409, 0.6155808867080174]",31,67
apple,"[-0.0648749120134602, 0.6155808867080174]",32,68
apple,"[-0.0648749120134602, 0.6155808867080174]",33,69
apple,"[-0.0648749120134602, 0.6155808867080172]",34,70
apple,"[-0.0753778361444409, 0.5832853282858641]",35,71
apple,"[-0.0753778361444409, 0.5832853282858641]",36,72
apple,"[-0.0753778361444409, 0.5832853282858642]",37,73
apple,"[-0.0753778361444409, 0.5832853282858642]",38,74
amazon,"[-0.02941176470588235, 1.0]",0,36
amazon,"[-0.02941176470588235, 1.0]",1,37
amazon,"[-0.02941176470588235, 1.0]",2,38
amazon,"[-0.02941176470588235, 1.0]",3,39
amazon,"[-0.02941176470588235, 1.0]",4,40
amazon,"[-0.02941176470588235, 1.0]",5,41
amazon,"[-0.029411764705882342, 1.0]",6,42
amazon,"[-0.029411764705882342, 1.0]",7,43
amazon,"[-0.029411764705882342, 1.0]",8,44
amazon,"[-0.029411764705882342, 1.0]",9,45
amazon,"[-0.029411764705882342, 1.0]",10,46
amazon,"[-0.029411764705882342, 1.0]",11,47
amazon,"[-0.029411764705882342, 1.0]",12,48
amazon,"[0.2770588237573977, 0.8917506789905704]",13,49
amazon,"[0.2770588237573977, 0.610785564835303]",14,50
amazon,"[0.2770588237573977, 0.6107855648353029]",15,51
amazon,"[0.2770588237573976, 0.610785564835303]",16,52
amazon,"[0.2770588237573976, 0.6107855648353029]",17,53
amazon,"[0.2770588237573976, 0.610785564835303]",18,54
amazon,"[0.2770588237573976, 0.6107855648353029]",19,55
amazon,"[0.2770588237573976, 0.610785564835303]",20,56
amazon,"[1.0, -0.030303030303030304]",22,58
amazon,"[1.0, -0.030303030303030304]",23,59
amazon,"[0.9999999999999999, -0.030303030303030304]",24,60
amazon,"[0.6966305460192358, -0.030303030303030304]",25,61
amazon,"[0.6966305460192358, -0.043519413988924456]",26,62
amazon,"[0.6966305460192358, -0.043519413988924456]",27,63
amazon,"[0.6966305460192357, -0.04351941398892445]",28,64
amazon,"[0.6966305460192357, -0.04351941398892445]",29,65
amazon,"[0.6966305460192357, -0.04351941398892445]",30,66
amazon,"[-0.06160411036336974, 0.5595813731096786]",80,116
amazon,"[-0.05251050315105038, 0.5595813731096786]",81,117
amazon,"[-0.05251050315105037, 0.5595813731096786]",82,118
amazon,"[-0.05251050315105037, 0.5595813731096786]",83,119
amazon,"[-0.05251050315105037, 0.5595813731096786]",84,120
amazon,"[-0.05251050315105037, 0.5595813731096786]",85,121
amazon,"[-0.05251050315105037, 0.5595813731096786]",86,122
amazon,"[-0.05251050315105037, 0.5595813731096786]",87,123
amazon,"[-0.05251050315105037, 0.5595813731096786]",88,124
amazon,"[-0.05251050315105037, 0.5595813731096786]",89,125
amazon,"[-0.052510503151050374, 0.5595813731096785]",90,126
google,"[-0.06160411036336973, 0.5595813731096787]",30,66
google,"[-0.052510503151050374, 0.5595813731096786]",31,67
google,"[-0.052510503151050374, 0.5595813731096786]",32,68
google,"[-0.052510503151050374, 0.5595813731096786]",33,69
google,"[-0.05251050315105038, 0.5595813731096787]",34,70
google,"[-0.052510503151050374, 0.5595813731096787]",35,71
google,"[-0.052510503151050374, 0.5595813731096787]",36,72
google,"[-0.052510503151050374, 0.5595813731096787]",37,73
julian assange,"[-0.05251050315105038, 0.5595813731096786]",44,80
julian assange,"[-0.06160411036336974, 0.5595813731096786]",45,81
julian assange,"[-0.05251050315105038, 0.5595813731096786]",58,94
julian assange,"[-0.05251050315105038, 0.5595813731096786]",59,95
julian assange,"[-0.052510503151050374, 0.5595813731096786]",60,96
julian assange,"[-0.052510503151050374, 0.5595813731096785]",61,97
julian assange,"[-0.05251050315105038, 0.5595813731096785]",62,98
julian assange,"[-0.04222003309207489, 0.6963106238227913]",63,99
julian assange,"[-0.04222003309207489, 0.6963106238227913]",64,100
julian assange,"[-0.04222003309207489, 0.6963106238227913]",65,101
julian assange,"[-0.04222003309207489, 0.6963106238227913]",66,102
julian assange,"[-0.04222003309207489, 0.6963106238227912]",67,103
julian assange,"[-0.04222003309207489, 0.6963106238227913]",68,104
julian assange,"[-0.04222003309207489, 0.6963106238227913]",69,105
julian assange,"[-0.04222003309207489, 0.6963106238227913]",70,106
julian assange,"[-0.04222003309207489, 0.6963106238227913]",71,107
julian assange,"[-0.04222003309207489, 0.6963106238227913]",72,108
julian assange,"[-0.04222003309207489, 0.6963106238227913]",73,109
julian assange,"[-0.04222003309207489, 0.6963106238227913]",74,110
julian assange,"[-0.04222003309207489, 0.6963106238227913]",75,111
julian assange,"[-0.04222003309207489, 0.6963106238227913]",76,112
nasa,"[0.560112033611204, -0.04351941398892446]",0,36
nasa,"[0.560112033611204, -0.05415303610738824]",1,37
nasa,"[0.560112033611204, -0.054153036107388225]",2,38
nasa,"[-0.052510503151050374, 0.5595813731096785]",42,78
nasa,"[-0.05251050315105038, 0.5595813731096786]",43,79
nasa,"[-0.05251050315105038, 0.5595813731096786]",44,80
nasa,"[-0.05781216125786004, 0.5595813731096786]",45,81
jeff sessions,"[0.5210501057189062, -0.08382594846159087]",6,42
jeff sessions,"[0.5034100373413123, -0.08977369642581767]",7,43
jeff sessions,"[0.5034100373413122, -0.09708696266996855]",18,54
jeff sessions,"[0.5034100373413123, -0.09708696266996855]",21,57
jeff sessions,"[0.5210501057189062, -0.08977369642581769]",22,58
jeff sessions,"[0.5210501057189062, -0.08977369642581766]",23,59
jeff sessions,"[0.5210501057189062, -0.08977369642581765]",24,60
jeff sessions,"[0.5034100373413122, -0.08977369642581767]",25,61
jeff sessions,"[0.5034100373413122, -0.09708696266996855]",26,62
jeff sessions,"[0.5034100373413123, -0.09708696266996857]",27,63
jeff sessions,"[0.5034100373413122, -0.09708696266996854]",28,64
jeff sessions,"[0.5210501057189062, -0.08977369642581765]",29,65
jeff sessions,"[0.5210501057189062, -0.08977369642581765]",30,66
jeff sessions,"[0.5210501057189062, -0.08977369642581765]",31,67
jeff sessions,"[0.5210501057189062, -0.08977369642581765]",32,68
jeff sessions,"[0.5210501057189062, -0.08977369642581766]",33,69
jeff sessions,"[0.5210501057189062, -0.08977369642581765]",34,70
jeff sessions,"[0.5409468240953992, -0.08245783703164637]",35,71
jeff sessions,"[0.5409468240953992, -0.08245783703164637]",36,72
jeff sessions,"[0.5409468240953993, -0.08245783703164637]",37,73
jeff sessions,"[0.6624609340663694, -0.0760106608549931]",38,74
jeff sessions,"[0.6624609340663694, -0.0760106608549931]",39,75
jeff sessions,"[0.6624609340663694, nan]",40,76
lionel messi,"[0.5601120336112039, -0.05415303610738825]",36,72
lionel messi,"[0.5601120336112039, -0.05415303610738825]",37,73
lionel messi,"[0.5601120336112039, -0.05415303610738825]",38,74
lionel messi,"[0.5601120336112039, -0.05415303610738825]",39,75
lionel messi,"[0.560112033611204, -0.05415303610738825]",40,76
lionel messi,"[0.5601120336112039, -0.05415303610738827]",41,77
lionel messi,"[0.560112033611204, -0.05415303610738825]",42,78
lionel messi,"[0.560112033611204, -0.05415303610738825]",43,79
lionel messi,"[0.560112033611204, -0.05415303610738825]",44,80
lionel messi,"[0.5601120336112039, -0.05415303610738827]",45,81
lionel messi,"[0.5601120336112039, -0.05415303610738827]",46,82
lionel messi,"[0.5601120336112039, -0.05415303610738827]",47,83
lionel messi,"[0.5601120336112039, -0.05415303610738827]",48,84
lionel messi,"[0.5601120336112039, -0.05415303610738827]",49,85
lionel messi,"[0.5601120336112039, -0.05415303610738827]",50,86
lionel messi,"[0.5601120336112039, -0.05415303610738827]",51,87
lionel messi,"[0.5601120336112039, -0.04351941398892446]",52,88
lionel messi,"[0.6966305460192357, -0.030303030303030318]",53,89
kamala harris,"[-0.04222003309207491, 0.6963106238227914]",75,111
kamala harris,"[-0.04222003309207491, 0.6963106238227914]",76,112
kamala harris,"[-0.04222003309207491, 0.9999999999999999]",77,113
kamala harris,"[-0.05251050315105037, 0.6963106238227912]",78,114
kamala harris,"[0.29845643959263274, 0.8036375634160796]",79,115
kamala harris,"[0.29845643959263274, 0.6846531968814575]",80,116
kamala harris,"[0.2984564395926327, 0.6846531968814574]",81,117
kamala harris,"[0.2984564395926328, 0.6846531968814575]",82,118
kamala harris,"[0.2984564395926327, 0.6846531968814574]",83,119
kamala harris,"[0.29845643959263274, 0.6846531968814575]",84,120
kamala harris,"[0.2984564395926327, 0.6846531968814575]",85,121
kamala harris,"[0.2984564395926327, 0.6846531968814575]",86,122
kamala harris,"[0.2984564395926327, 0.6846531968814575]",87,123
kamala harris,"[0.2984564395926326, 0.6846531968814575]",88,124
kamala harris,"[0.251259453814803, 0.6846531968814576]",89,125
kamala harris,"[0.251259453814803, 0.6020797289396145]",90,126
mike pompeo,"[0.696630546019236, -0.030303030303030307]",9,45
mike pompeo,"[0.6966305460192359, -0.04351941398892446]",10,46
mike pompeo,"[0.696630546019236, -0.043519413988924456]",11,47
mike pompeo,"[0.6966305460192358, -0.04351941398892446]",12,48
mike pompeo,"[0.6966305460192358, -0.04351941398892446]",13,49
mike pompeo,"[0.6966305460192358, -0.04351941398892445]",14,50
mike pompeo,"[0.6966305460192358, -0.04351941398892445]",15,51
mike pompeo,"[0.6966305460192358, -0.04351941398892445]",16,52
mike pompeo,"[0.6966305460192358, -0.04351941398892445]",17,53
mike pompeo,"[0.6966305460192358, -0.04351941398892445]",18,54
mike pompeo,"[0.6966305460192358, -0.04351941398892445]",19,55
mike pompeo,"[0.6966305460192357, -0.04351941398892445]",20,56
tom brady,"[0.6966305460192357, -0.04351941398892446]",48,84
tom brady,"[0.6966305460192357, nan]",49,85
mitch mcconnell,"[0.29442708180727534, 0.7025523941039719]",83,119
mitch mcconnell,"[0.29442708180727534, 0.6623786160220827]",84,120
mitch mcconnell,"[0.27380494608125744, 0.6623786160220827]",85,121
mitch mcconnell,"[0.255739079493506, 0.6286946134619317]",86,122
mitch mcconnell,"[0.255739079493506, 0.6000137896164207]",87,123
mitch mcconnell,"[0.25573907949350594, 0.6000137896164207]",88,124
mitch mcconnell,"[0.25573907949350594, 0.6000137896164208]",89,125
mitch mcconnell,"[0.25573907949350594, 0.6000137896164208]",90,126
mitch mcconnell,"[0.25573907949350594, 0.6000137896164208]",91,127
mitch mcconnell,"[0.25573907949350594, 0.6000137896164208]",92,128
mitch mcconnell,"[0.25573907949350594, 0.6000137896164208]",93,129
mitch mcconnell,"[0.2557390794935059, 0.6000137896164208]",94,130
mitch mcconnell,"[0.2557390794935059, 0.6000137896164208]",95,131
mitch mcconnell,"[0.2557390794935059, 0.6000137896164208]",96,132
mitch mcconnell,"[0.2557390794935059, 0.6000137896164208]",97,133
mitch mcconnell,"[0.2557390794935059, 0.6000137896164208]",98,134
mitch mcconnell,"[0.2557390794935059, 0.6000137896164208]",99,135
mitch mcconnell,"[0.23967655901480325, 0.6000137896164208]",100,136
mitch mcconnell,"[0.2396765590148033, 0.5753017106221617]",101,137
mitch mcconnell,"[0.2396765590148033, 0.5753017106221617]",102,138
mitch mcconnell,"[0.23967655901480334, 0.5753017106221617]",103,139
mitch mcconnell,"[0.2396765590148033, 0.5753017106221618]",104,140
mitch mcconnell,"[0.23967655901480328, 0.5753017106221616]",105,141
mitch mcconnell,"[0.23967655901480334, 0.5753017106221616]",106,142
mitch mcconnell,"[0.23967655901480334, 0.5753017106221616]",107,143
mitch mcconnell,"[0.22521564164436306, 0.5753017106221617]",108,144
mitch mcconnell,"[0.2396765590148033, 0.5753017106221618]",109,145
mitch mcconnell,"[0.2557390794935058, 0.6000137896164209]",110,146
