ukraine,"[0.6995439243733446, -0.031083493608010413]",52,101
ukraine,"[0.6995439243733446, -0.031083493608010413]",53,102
ukraine,"[0.6995439243733445, -0.031083493608010413]",54,103
ukraine,"[0.6995439243733446, -0.031083493608010413]",55,104
ukraine,"[0.6995439243733445, -0.031083493608010413]",56,105
ukraine,"[0.6995439243733445, -0.031083493608010406]",57,106
ukraine,"[0.6995439243733445, -0.031083493608010413]",58,107
ukraine,"[0.6995439243733445, -0.031083493608010413]",59,108
ukraine,"[0.6995439243733445, -0.031083493608010413]",60,109
ukraine,"[0.6995439243733445, -0.031083493608010406]",61,110
ukraine,"[0.6995439243733445, -0.031083493608010413]",62,111
ukraine,"[0.6995439243733445, -0.02173913043478261]",63,112
ukraine,"[0.9999999999999999, -0.021739130434782608]",64,113
ukraine,"[0.9999999999999997, -0.021739130434782608]",65,114
ukraine,"[0.9999999999999999, -0.02173913043478261]",66,115
ukraine,"[0.9999999999999997, -0.02173913043478261]",67,116
ukraine,"[0.9999999999999999, -0.021739130434782608]",68,117
ukraine,"[0.9999999999999997, nan]",69,118
republican party,"[0.282327017716435, 0.5181939511071074]",63,112
joe biden,"[-0.004042755883403554, 0.5454986160749947]",103,152
joe biden,"[1.734723475976807e-17, 0.5454092104193097]",104,153
joe biden,"[0.006493917236630221, 0.5520808827180173]",105,154
joe biden,"[0.0, 0.5520808827180171]",106,155
joe biden,"[-0.009580753585926347, 0.5454092104193097]",107,156
joe biden,"[-0.011863639979105708, 0.5577468846308474]",108,157
joe biden,"[-0.023408229439226103, 0.5573220786781833]",109,158
joe biden,"[-0.019809943838690704, 0.5573220786781834]",110,159
joe biden,"[-0.027812617927834196, 0.5505238384248746]",111,160
joe biden,"[-0.027812617927834196, 0.5442294578613626]",112,161
joe biden,"[-0.013102435641608366, 0.6159895901528407]",113,162
joe biden,"[-0.017609018126512485, 0.616408778250729]",114,163
joe biden,"[-0.013477872335367527, 0.642417921649178]",115,164
joe biden,"[-0.004623242598849726, 0.6614968926256461]",116,165
joe biden,"[0.021152477232345084, 0.5303945844268992]",117,166
joe biden,"[0.11630910178984488, 0.5303945844268991]",118,167
migrants,"[0.5749711394431569, 0.3255430246059117]",112,161
migrants,"[0.36317521495219335, 0.5921137213439926]",113,162
migrants,"[0.30050125348238005, 0.5921137213439926]",114,163
migrants,"[0.28691416238457623, 0.5001644466415125]",115,164
george floyd,"[1.0, nan]",58,107
barack obama,"[-0.05096471914376255, 0.5646597025732804]",70,119
barack obama,"[-0.03766217885773547, 0.5646597025732802]",71,120
barack obama,"[-0.030414953233623677, 0.6993786061802354]",72,121
barack obama,"[-0.03041495323362367, 0.6993786061802355]",73,122
barack obama,"[-0.030414953233623677, 0.6993786061802354]",74,123
barack obama,"[-0.030414953233623674, 0.6993786061802355]",75,124
barack obama,"[-0.03041495323362368, 0.6993786061802354]",76,125
barack obama,"[-0.030414953233623674, 0.6993786061802355]",77,126
barack obama,"[-0.03041495323362368, 0.6993786061802354]",78,127
barack obama,"[-0.030414953233623674, 0.6993786061802355]",79,128
barack obama,"[-0.03041495323362368, 0.6993786061802354]",80,129
consumers,"[-0.05911883834610335, 0.5078333750770075]",58,107
consumers,"[-0.05911883834610335, 0.5078333750770077]",59,108
consumers,"[-0.05911883834610337, 0.5078333750770077]",60,109
consumers,"[-0.05911883834610335, 0.5078333750770077]",61,110
consumers,"[-0.06262242910851495, 0.5558228262694611]",65,114
consumers,"[-0.05057217374241735, 0.5558228262694613]",66,115
consumers,"[-0.04115772364571861, 0.6170313041371167]",67,116
consumers,"[-0.03766217885773547, 0.5646597025732801]",69,118
immigrants,"[-0.05383819020581655, 0.5646597025732801]",79,128
lgbt community,"[0.6888467201936644, -0.05504818825631803]",118,167
lgbt community,"[0.6888467201936644, -0.06404031539506062]",119,168
uk,"[-0.06262242910851495, 0.5558228262694612]",71,120
north korea,"[0.07829244944880182, 0.6120684640872615]",37,86
north korea,"[0.12254258527460647, 0.6120684640872613]",38,87
north korea,"[0.37686733144071577, 0.5646597025732802]",53,102
north korea,"[-0.03041495323362368, 0.6993786061802355]",54,103
north korea,"[-0.03041495323362367, 0.6993786061802354]",55,104
north korea,"[-0.03041495323362367, 0.6993786061802354]",56,105
students,"[0.5652173913043479, -0.06429904295605493]",89,138
students,"[0.5652173913043479, -0.06224989499309094]",90,139
students,"[0.5652173913043479, -0.06224989499309095]",91,140
students,"[0.5652173913043479, -0.062249894993090936]",92,141
students,"[0.5652173913043478, -0.06224989499309092]",93,142
students,"[0.5652173913043478, -0.06224989499309092]",94,143
students,"[0.5652173913043478, -0.06224989499309092]",95,144
students,"[0.5652173913043478, -0.06224989499309091]",96,145
students,"[0.5652173913043478, -0.06224989499309092]",97,146
students,"[0.5652173913043478, -0.06224989499309091]",98,147
students,"[0.5652173913043478, -0.06224989499309091]",99,148
