none.none.none,"[0.14593816757226222, 0.5111513004505556]",70,90
none.none.none,"[0.20522923812136448, 0.5470351391604483]",71,91
none.none.none,"[0.19354804260306518, 0.5929066577855266]",72,92
none.none.none,"[0.2101398592743577, 0.5844524758065858]",73,93
none.none.none,"[0.2526621343851231, 0.6417715196054679]",74,94
none.none.none,"[0.20182956048165432, 0.5993837098567101]",75,95
none.none.none,"[0.29126057825433926, 0.6366877795991797]",76,96
none.none.none,"[0.26213420651366504, 0.6171536974931084]",77,97
none.none.none,"[0.5596723538901157, 0.7331607025926155]",78,98
none.none.none,"[0.4103148207268557, 0.5386360138022769]",79,99
none.none.none,"[0.706332806506072, 0.6960668934604445]",80,100
none.none.none,"[0.8352112634964164, 0.18109761952800246]",81,101
none.none.none,"[0.9921946489736547, nan]",82,102
none.none.none,"[0.8718990017996768, nan]",84,104
none.none.none,"[0.6361105474876738, 0.6346996154841553]",85,105
none.none.none,"[0.6344423401980963, 0.5932069575220652]",86,106
none.none.none,"[0.5323192039165834, 0.7263394988133012]",87,107
none.none.none,"[0.5431306461875712, 0.7112132941120001]",88,108
none.none.none,"[0.5794965848788751, 0.7200380754307175]",89,109
none.none.none,"[0.5116647731806626, 0.7373076299953362]",90,110
none.none.none,"[0.44063759209525494, 0.6583513717559786]",91,111
none.none.none,"[0.4994382578185527, 0.562318574564316]",92,112
none.none.none,"[0.4661482253060723, 0.6179195600018059]",93,113
none.none.none,"[0.43473975995827174, 0.607892220556028]",94,114
none.none.none,"[0.3863796278873874, 0.5921467635620778]",95,115
none.none.none,"[0.36654603817052694, 0.5295693200905972]",96,116
none.none.none,"[0.12299969383514928, 0.5197207285902595]",132,152
none.none.none,"[0.5270396731927935, 0.5462827535948481]",137,157
none.none.none,"[0.5199939701746857, 0.5110177423160915]",138,158
none.none.none,"[0.5304989068348642, 0.4479486766793179]",139,159
none.none.none,"[0.5829007950994854, 0.46138542263497234]",140,160
none.none.none,"[0.6156885597411198, 0.45728220936147285]",141,161
none.donald trump.none,"[0.6264106396359443, -0.18015093964441797]",112,132
none.donald trump.none,"[0.5443310539518176, -0.10846522890932805]",119,139
none.donald trump.none,"[0.5443310539518176, nan]",120,140
none.donald trump.none,"[0.6871842709362768, -0.0588235294117647]",135,155
none.donald trump.none,"[0.6871842709362768, -0.0857492925712544]",136,156
none.donald trump.none,"[0.6871842709362768, -0.0857492925712544]",137,157
none.donald trump.none,"[0.5443310539518175, -0.0857492925712544]",138,158
none.donald trump.none,"[0.5443310539518175, -0.10846522890932808]",139,159
donald trump.none.none,"[-0.10206207261596578, 0.5423261445466406]",67,87
donald trump.none.none,"[-0.10206207261596581, 0.5423261445466405]",68,88
donald trump.none.none,"[-0.10206207261596575, 0.5423261445466406]",69,89
donald trump.none.none,"[-0.10206207261596575, 0.6859943405700353]",70,90
donald trump.none.none,"[-0.08084520834544434, 0.6859943405700353]",71,91
donald trump.none.none,"[-0.08084520834544433, 0.685994340570035]",72,92
none.vladimir putin.none,"[1.0, nan]",34,54
none.vladimir putin.none,"[0.6871842709362768, 0.6859943405700353]",35,55
none.vladimir putin.none,"[0.5443310539518175, 0.5423261445466403]",36,56
none.vladimir putin.none,"[0.5443310539518175, 0.5423261445466404]",37,57
"none
villain: none
victim: none.none.none","[-0.08084520834544434, 0.6859943405700354]",29,49
"none
villain: none
victim: none.none.none","[-0.08084520834544434, 0.6859943405700353]",30,50
"none
villain: none
victim: none.none.none","[-0.08084520834544434, 0.6859943405700354]",31,51
"none
villain: none
victim: none.none.none","[-0.11764705882352938, 0.6859943405700353]",32,52
"none
villain: none
victim: none.none.none","[0.8675276172357091, -0.10846522890932808]",112,132
"none
villain: none
victim: none.none.none","[0.8675276172357091, -0.10846522890932807]",113,133
"none
villain: none
victim: none.none.none","[0.5569579929243793, -0.15811388300841897]",114,134
"none
villain: none
victim: none.none.none","[0.5569579929243793, -0.15811388300841894]",115,135
"none
villain: none
victim: none.none.none","[0.5569579929243794, -0.15811388300841894]",116,136
"none
villain: none
victim: none.none.none","[0.5569579929243792, -0.15811388300841894]",117,137
"none
villain: none
victim: none.none.none","[0.5569579929243794, -0.15811388300841894]",118,138
"none
villain: none
victim: none.none.none","[0.5569579929243792, -0.15811388300841894]",119,139
"none
villain: none
victim: none.none.none","[0.5569579929243794, -0.15811388300841894]",120,140
"none
villain: none
victim: none.none.none","[0.5569579929243792, -0.15811388300841894]",121,141
"none
villain: none
victim: none.none.none","[0.5569579929243794, -0.15811388300841894]",122,142
"none
villain: none
victim: none.none.none","[0.5942230414734042, -0.13440083264261754]",123,143
"none
villain: none
victim: none.none.none","[0.5942230414734041, -0.11043152607484649]",124,144
"none
villain: none
victim: none.none.none","[0.5942230414734041, -0.13440083264261754]",125,145
"none
villain: none
victim: none.none.none","[0.5942230414734041, -0.13440083264261754]",126,146
"none
villain: none
victim: none.none.none","[0.5942230414734041, -0.13440083264261754]",127,147
"none
villain: none
victim: none.none.none","[0.6370624351781209, -0.11043152607484652]",128,148
"none
villain: none
victim: none.none.none","[0.6370624351781209, -0.11043152607484652]",129,149
"none
villain: none
victim: none.none.none","[0.637062435178121, -0.07575540190785704]",130,150
barack obama.none.none,"[0.9035624609139905, -0.09219821056073611]",23,43
barack obama.none.none,"[0.9035624609139906, -0.07575540190785703]",24,44
barack obama.none.none,"[0.9035624609139906, -0.09219821056073613]",25,45
barack obama.none.none,"[0.9035624609139907, -0.0921982105607361]",26,46
barack obama.none.none,"[0.9035624609139905, -0.0921982105607361]",27,47
barack obama.none.none,"[0.9035624609139905, -0.09219821056073611]",28,48
barack obama.none.none,"[0.947032739106719, -0.07575540190785701]",29,49
barack obama.none.none,"[0.9470327391067194, -0.07575540190785704]",30,50
barack obama.none.none,"[0.947032739106719, -0.07575540190785703]",31,51
barack obama.none.none,"[0.947032739106719, -0.07575540190785703]",32,52
barack obama.none.none,"[0.947032739106719, -0.07575540190785701]",33,53
barack obama.none.none,"[0.9470327391067194, nan]",34,54
none.donald trump.americans,"[-0.10206207261596575, 0.5423261445466404]",90,110
none.donald trump.americans,"[-0.10206207261596577, 0.5423261445466404]",91,111
none.donald trump.americans,"[-0.10206207261596577, 0.5423261445466405]",92,112
none.china.none,"[0.6871842709362768, -0.0588235294117647]",20,40
none.china.none,"[0.6871842709362768, -0.0857492925712544]",21,41
none.china.none,"[0.6871842709362768, -0.0857492925712544]",22,42
none.china.none,"[0.6871842709362768, -0.0857492925712544]",23,43
none.china.none,"[1.0, -0.05882352941176469]",24,44
none.china.none,"[1.0, -0.05882352941176469]",25,45
none.china.none,"[0.6871842709362768, -0.08574929257125441]",26,46
none.china.none,"[0.6871842709362768, -0.08574929257125441]",27,47
none.china.none,"[0.6871842709362768, -0.08574929257125441]",28,48
none.china.none,"[0.6871842709362768, -0.08574929257125441]",29,49
none.china.none,"[0.6871842709362769, -0.08574929257125441]",30,50
none.china.none,"[0.6871842709362768, -0.08574929257125441]",31,51
none.china.none,"[0.6871842709362768, -0.08574929257125442]",32,52
none.china.none,"[0.6871842709362768, -0.08574929257125441]",33,53
none.china.none,"[0.6871842709362769, -0.08574929257125441]",34,54
none.china.none,"[0.6871842709362768, -0.08574929257125441]",35,55
joe biden.none.none,"[-0.11764705882352938, 0.6859943405700352]",116,136
joe biden.none.none,"[-0.08084520834544434, 0.6859943405700353]",117,137
joe biden.none.none,"[-0.08084520834544434, 0.6859943405700353]",118,138
joe biden.none.none,"[-0.08084520834544434, 0.6859943405700353]",119,139
joe biden.none.none,"[-0.08084520834544434, 0.6859943405700352]",120,140
joe biden.none.none,"[-0.08084520834544434, 0.6859943405700353]",121,141
joe biden.none.none,"[-0.08084520834544434, 0.6859943405700353]",122,142
joe biden.none.none,"[-0.08084520834544434, 0.6859943405700353]",123,143
joe biden.none.none,"[-0.08084520834544433, 0.685994340570035]",124,144
