bihar education minister,"[-0.11764705882352938, 0.6859943405700353]",17,37
bihar education minister,"[-0.08084520834544434, 0.6859943405700352]",18,38
donald trump,"[-0.11764705882352938, 0.6859943405700353]",73,93
donald trump,"[-0.08084520834544434, 0.6859943405700352]",74,94
donald trump,"[0.8226035963188325, nan]",88,108
donald trump,"[0.5197191965064277, -0.10114434748483472]",143,163
united states,"[-0.2446569656188906, 0.5291502622129182]",23,43
united states,"[-0.38845397093150535, 0.5271016357912215]",25,45
united states,"[-0.4664429530201341, 0.5271016357912215]",26,46
united states,"[-0.5222603493308883, 0.5367647058823529]",27,47
united states,"[-0.5222603493308883, 0.5367647058823529]",28,48
united states,"[-0.5222603493308883, 0.5367647058823528]",29,49
united states,"[-0.5222603493308884, 0.5367647058823528]",30,50
united states,"[-0.4664429530201341, 0.5367647058823529]",31,51
united states,"[-0.466442953020134, 0.5367647058823529]",32,52
united states,"[-0.5459382396713955, 0.5367647058823529]",33,53
united states,"[-0.5459382396713955, 0.5367647058823529]",34,54
united states,"[-0.5077524002897476, 0.5]",37,57
united states,"[-0.5077524002897476, 0.5]",38,58
united states,"[-0.5077524002897476, 0.5]",39,59
united states,"[-0.5077524002897476, 0.5589565568382148]",40,60
united states,"[-0.5353535353535352, 0.5803810000880094]",41,61
united states,"[-0.6619033923214951, 0.6321180724105222]",42,62
united states,"[-0.6666789106525747, 0.539905524799017]",43,63
united states,"[-0.683295067588113, 0.5399055247990171]",44,64
united states,"[-0.5079365079365078, 0.6565321642986128]",51,71
united states,"[0.6274509803921569, -0.08574929257125442]",88,108
united states,"[-0.3168316831683168, 0.6151390672141491]",115,135
united states,"[-0.33638396596763215, 0.615139067214149]",116,136
united states,"[0.6871842709362768, nan]",142,162
americans,"[-0.11764705882352938, 0.6859943405700353]",3,23
americans,"[0.5197191965064278, -0.10114434748483472]",9,29
americans,"[-0.30860669992418377, 0.5635445125120264]",49,69
americans,"[-0.3571428571428571, 0.5635445125120264]",50,70
americans,"[-0.20253164556962028, 0.5903012777011399]",115,135
americans,"[-0.23239715750965073, 0.5903012777011399]",116,136
americans,"[-0.11764705882352938, 0.6859943405700353]",135,155
hillary clinton,"[0.6871842709362769, nan]",115,135
democratic party,"[-0.07624928516630235, 0.8892972917998876]",5,25
democratic party,"[-0.1046511627906977, 0.8892972917998875]",6,26
democratic party,"[-0.13071306028508972, 0.695048046856916]",7,27
democratic party,"[-0.163265306122449, 0.695048046856916]",8,28
democratic party,"[-0.19440394783993475, 0.7261785883857188]",9,29
