none.none.none,"[0.13963107679297945, 0.5048473907508066]",69,89
none.none.none,"[0.19243744103128993, 0.6045184205595976]",70,90
none.none.none,"[0.16149185634097815, 0.6118257835429912]",71,91
none.none.none,"[0.2128535325742738, 0.6393303517069223]",72,92
none.none.none,"[0.23333627108147778, 0.6391781845409115]",73,93
none.none.none,"[0.2761114530271518, 0.6971538231561262]",74,94
none.none.none,"[0.18831576113661155, 0.624787186356328]",75,95
none.none.none,"[0.26399299101947465, 0.6564365596209576]",76,96
none.none.none,"[0.5409490994679648, 0.451418797734163]",78,98
none.none.none,"[0.7896833079000442, 0.419839958328112]",80,100
none.none.none,"[0.6839826760834534, -0.06202571747248686]",81,101
none.none.none,"[0.9986140098425604, nan]",82,102
none.none.none,"[0.8718990017996767, nan]",84,104
none.none.none,"[0.6745670103083427, 0.6346996154841553]",85,105
none.none.none,"[0.6794910774356803, 0.6100083412265114]",86,106
none.none.none,"[0.6262538689213408, 0.7305365905002458]",87,107
none.none.none,"[0.5470528171434856, 0.7308583147365431]",88,108
none.none.none,"[0.4905611193543273, 0.6649412126267351]",89,109
none.none.none,"[0.5390818830097068, 0.5981745157063373]",90,110
none.none.none,"[0.5097044787317361, 0.6359847864109528]",91,111
none.none.none,"[0.5462075933282007, 0.5910642459136904]",92,112
none.none.none,"[0.4353014027275953, 0.6228880756109434]",93,113
none.none.none,"[0.39514300897147264, 0.6007988910986959]",94,114
none.none.none,"[0.374106866042469, 0.5746656294199831]",95,115
none.none.none,"[0.3843731089546958, 0.5581268471051434]",96,116
none.none.none,"[0.20498558043444018, 0.638077990398247]",97,117
none.none.none,"[0.17774664896310585, 0.5591204280013685]",98,118
none.none.none,"[0.04003133479911404, 0.5501948137221475]",99,119
none.none.none,"[-0.11668720438730791, 0.5306771056378371]",100,120
none.none.none,"[-0.05424410508299106, 0.5521206528888395]",108,128
none.none.none,"[-0.048951540388295925, 0.5193161484106797]",109,129
none.none.none,"[-0.06714301722220832, 0.5057674991591586]",111,131
none.none.none,"[0.512305267946063, 0.43769156233080486]",136,156
none.none.none,"[0.6933715774288127, 0.6188091885975032]",137,157
none.none.none,"[0.5987490535767009, 0.6107896386135232]",138,158
none.none.none,"[0.686327352414612, 0.7362308815661643]",139,159
none.none.none,"[0.6228677253370853, 0.7965091476196479]",140,160
none.none.none,"[0.6183539482269048, 0.8023039056152443]",141,161
none.none.none,"[0.6384641329284055, 0.8070142408720072]",142,162
none.none.none,"[0.6453538186377847, 0.859522245304944]",143,163
none.none.none,"[0.6313564290863173, 0.858426304585312]",144,164
none.none.none,"[0.6107895867308278, 0.8543867902067338]",145,165
none.none.none,"[0.5838497233849187, 0.8257758477021135]",146,166
none.none.none,"[0.5484454857196496, 0.807642911508043]",147,167
none.none.none,"[0.4275525953157019, 0.784541044265511]",148,168
alex jones.global elite.80% of the world's population,"[0.5048781642974013, 0.34299717028501764]",28,48
alex jones.global elite.80% of the world's population,"[0.4564354645876385, 0.5423261445466406]",79,99
alex jones.global elite.80% of the world's population,"[0.5443310539518176, 0.685994340570035]",80,100
alex jones.global elite.80% of the world's population,"[0.45643546458763845, 0.5423261445466406]",107,127
alex jones.global elite.80% of the world's population,"[0.5443310539518176, 0.5423261445466406]",108,128
alex jones.global elite.80% of the world's population,"[0.5443310539518176, 0.5423261445466406]",109,129
alex jones.global elite.80% of the world's population,"[0.5443310539518176, 0.6859943405700352]",110,130
alex jones.global elite.world population,"[0.5443310539518174, nan]",86,106
alex jones.global elite.world population,"[0.45643546458763856, 0.5423261445466403]",104,124
none.donald trump.none,"[-0.13217526428635734, 0.6202722618780608]",27,47
none.donald trump.none,"[-0.1923432620282051, 0.6202722618780607]",28,48
none.donald trump.none,"[-0.1356993819095702, 0.5051814855409223]",51,71
none.donald trump.none,"[-0.1356993819095702, 0.5051814855409225]",52,72
none.donald trump.none,"[-0.0932504808240314, 0.7921180343813393]",53,73
none.donald trump.none,"[-0.1356993819095702, 0.7921180343813392]",54,74
none.donald trump.none,"[-0.16360932300763462, 0.8718572905786446]",55,75
none.donald trump.none,"[-0.20654664570971026, 0.8718572905786446]",56,76
none.donald trump.none,"[-0.2294962730107892, 0.7854091098781056]",57,77
none.donald trump.none,"[-0.22949627301078923, 0.7854091098781057]",58,78
none.donald trump.none,"[-0.25315801992203896, 0.7643261927183839]",59,79
none.donald trump.none,"[-0.25315801992203896, 0.8563488385776752]",60,80
none.donald trump.none,"[-0.21853931903038445, 0.8837879163470619]",61,81
none.donald trump.none,"[-0.21853931903038443, 0.8563488385776752]",62,82
none.donald trump.none,"[-0.242821465589316, 0.8318003918560581]",63,83
none.donald trump.none,"[-0.2895814951753795, 0.8318003918560581]",64,84
none.donald trump.none,"[-0.2895814951753795, 0.66797249845129]",65,85
none.donald trump.none,"[-0.2895814951753795, 0.66797249845129]",66,86
none.donald trump.none,"[-0.2895814951753795, 0.6679724984512901]",67,87
none.donald trump.none,"[-0.2895814951753795, 0.6679724984512901]",68,88
none.donald trump.none,"[-0.24282146558931603, 0.5589565568382148]",69,89
