;combo;num_outlets;num_appearances;normalized_appearances;year;month;month_half;FarRight;Right;CenterRight;Center;CenterLeft;Left;FarLeft
0;none.none.none;97;406;116.17109144542772;2016;1;1;32;74;116;106;2;34;42
1;none.barack obama.none;8;16;0.3775811209439528;2016;1;1;2;8;2;0;0;2;2
2;none.saudi arabia.iran;7;14;0.28908554572271383;2016;1;1;0;0;2;4;0;0;8
3;none.donald trump.none;6;12;0.21238938053097345;2016;1;1;0;6;0;0;0;0;6
4;none.donald trump.ted cruz;5;10;0.14749262536873156;2016;1;1;2;2;0;0;0;0;6
5;barack obama.none.none;4;8;0.0943952802359882;2016;1;1;2;0;0;2;2;0;2
6;david bowie.none.none;4;8;0.0943952802359882;2016;1;1;0;0;0;0;0;2;6
7;ken griffey jr..none.none;3;6;0.05309734513274336;2016;1;1;0;0;2;4;0;0;0
8;none.donald trump.hillary clinton;3;6;0.05309734513274336;2016;1;1;0;4;0;0;0;0;2
9;martin lockley.none.none;2;4;0.02359882005899705;2016;1;1;2;0;0;2;0;0;0
10;none.none.none;90;350;108.24742268041237;2016;1;15;44;50;0;0;112;84;60
11;ted cruz.donald trump.none;7;14;0.33676975945017185;2016;1;15;2;12;0;0;0;0;0
12;none.donald trump.ted cruz;6;14;0.28865979381443296;2016;1;15;2;8;0;0;2;0;2
13;none.ted cruz.none;4;8;0.10996563573883161;2016;1;15;0;2;0;0;0;0;6
14;none.hillary clinton.none;3;8;0.08247422680412371;2016;1;15;0;6;0;0;0;0;2
15;donald trump.none.none;3;8;0.08247422680412371;2016;1;15;4;4;0;0;0;0;0
16;none.hillary clinton.bernie sanders;3;8;0.08247422680412371;2016;1;15;0;2;0;0;0;0;6
17;none.donald trump.hillary clinton;3;6;0.061855670103092786;2016;1;15;0;2;0;0;0;0;4
18;none.donald trump.megyn kelly;3;6;0.061855670103092786;2016;1;15;2;2;0;0;0;0;2
19;bernie sanders.hillary clinton.none;3;6;0.061855670103092786;2016;1;15;2;0;0;0;0;2;2
20;none.none.none;153;764;304.40625;2016;2;1;44;232;104;134;126;54;70
21;none.donald trump.none;8;18;0.375;2016;2;1;0;0;0;0;6;0;12
22;none.donald trump.ted cruz;5;10;0.13020833333333334;2016;2;1;0;0;4;2;0;0;4
23;bernie sanders.hillary clinton.none;5;10;0.13020833333333334;2016;2;1;0;0;0;0;2;2;6
24;bernie sanders.none.none;3;10;0.078125;2016;2;1;4;0;0;0;0;2;4
25;none.chris christie.marco rubio;3;8;0.0625;2016;2;1;2;0;0;0;0;0;6
26;donald trump.none.none;3;8;0.0625;2016;2;1;4;2;0;0;0;0;2
27;haneefah adam.none.none;3;6;0.046875;2016;2;1;2;0;2;0;0;2;0
28;antonin scalia.none.none;2;6;0.03125;2016;2;1;2;0;0;0;0;0;4
29;india.none.none;2;6;0.03125;2016;2;1;0;0;4;2;0;0;0
30;none.none.none;53;196;52.201005025125625;2016;2;15;34;4;28;0;22;70;38
31;none.donald trump.none;5;12;0.30150753768844224;2016;2;15;8;0;0;0;0;0;4
32;none.donald trump.ted cruz;4;8;0.16080402010050251;2016;2;15;2;0;0;0;0;2;4
33;none.ted cruz.none;3;6;0.09045226130653267;2016;2;15;0;0;0;0;2;0;4
34;barack obama.none.none;3;6;0.09045226130653267;2016;2;15;2;0;0;0;2;0;2
35;leonardo dicaprio.none.none;3;6;0.09045226130653267;2016;2;15;0;0;2;0;0;4;0
36;narayan debnath.none.none;1;16;0.08040201005025126;2016;2;15;0;0;0;0;0;16;0
37;bernie sanders.none.none;2;6;0.06030150753768844;2016;2;15;0;0;0;0;0;0;6
38;john kasich.none.none;2;4;0.04020100502512563;2016;2;15;0;0;0;0;0;0;4
39;none.donald trump.hillary clinton;2;4;0.04020100502512563;2016;2;15;0;0;2;0;0;0;2
40;none.none.none;137;626;225.0971128608924;2016;3;1;46;196;66;156;60;66;36
41;none.donald trump.none;14;32;1.1758530183727034;2016;3;1;4;0;2;4;4;2;16
42;erin andrews.michael david barrett.erin andrews;4;10;0.10498687664041995;2016;3;1;6;2;0;0;0;2;0
43;donald trump.none.none;4;8;0.08398950131233596;2016;3;1;0;0;0;0;2;2;4
44;george martin.none.none;3;6;0.047244094488188976;2016;3;1;0;0;0;4;2;0;0
45;ted cruz.donald trump.marco rubio;3;6;0.047244094488188976;2016;3;1;4;2;0;0;0;0;0
46;"none
villain: none
victim: none.none.none";3;6;0.047244094488188976;2016;3;1;0;0;0;4;2;0;0
47;mark zuckerberg.none.none;2;6;0.031496062992125984;2016;3;1;0;0;0;6;0;0;0
48;narendra modi.none.none;2;6;0.031496062992125984;2016;3;1;0;4;2;0;0;0;0
49;narayan debnath.none.none;1;10;0.026246719160104987;2016;3;1;0;0;0;0;0;10;0
50;none.none.none;82;278;82.29602888086642;2016;3;15;56;0;86;0;50;44;42
51;barack obama.none.none;5;16;0.2888086642599278;2016;3;15;2;0;0;0;2;2;10
52;none.donald trump.none;6;12;0.259927797833935;2016;3;15;4;0;0;0;0;4;4
53;none.none.hillary clinton;4;10;0.1444043321299639;2016;3;15;4;0;0;0;0;0;6
54;none.donald trump.republican party;4;8;0.11552346570397112;2016;3;15;4;0;0;0;0;2;2
55;john kasich.none.none;3;8;0.08664259927797834;2016;3;15;0;0;0;0;0;4;4
56;bernie sanders.none.none;2;6;0.043321299638989175;2016;3;15;0;0;0;0;0;0;6
